stories_id,url,media_name,media_id,title,publish_date,snapshots_id,foci_id,timespans_id,inlink_count,outlink_count,foci,facebook_share_count
441778415,https://www.youtube.com/watch?v=q_q61B-DyPk&feature=youtu.be,YouTube,18362,Donald Trump Presidential Announcement Full Speech 6/16/15,2015-06-16 08:00:00,1879,,127285,103,0,[],7124
498447921,http://feedblitz.com/f/?fblike=http%3a%2f%2fwww.usatoday.com%2fstory%2fnews%2fpolitics%2felections%2f2016%2f06%2f09%2fdonald-trump-unpaid-bills-republican-president-laswuits%2f85297274%2f,feedblitz.com,123615,http://feedblitz.com/f/?fblike=http%3a%2f%2fwww.usatoday.com%2fstory%2fnews%2fpolitics%2felections%2f2016%2f06%2f09%2fdonald-trump-unpaid-bills-republican-president-laswuits%2f85297274%2f,2016-06-08 18:46:35,1879,,127285,2,0,[],0
498329488,https://accounts.google.com/ServiceLogin?service=oz&passive=1209600&continue=https://plus.google.com/share?url%3Dhttp://www.usatoday.com/story/news/politics/elections/2016/06/09/donald-trump-unpaid-bills-republican-president-laswuits/85297274/%26gpsrc%3Dgplp0&btmpl=popup,accounts.google.com,18673,Google+,2016-06-09 08:00:00,1879,,127285,2,0,[],0
498427327,https://www.pinterest.com/join/?next=/pin/create/button/%3Furl%3Dhttp%253a%252f%252fwww.usatoday.com%252fstory%252fnews%252fpolitics%252felections%252f2016%252f06%252f09%252fdonald-trump-unpaid-bills-republican-president-laswuits%252f85297274%252f%26description%3DUSA%2BTODAY%2Bexclusive%253a%2BHundreds%2Ballege%2BDonald%2BTrump%2Bdoesn%25E2%2580%2599t%2Bpay%2Bhis%2Bbills%26media%3D,Pinterest,20448,Pinterest • The world’s catalog of ideas,2016-06-08 18:46:35,1879,,127285,2,0,"[{'foci_id': 1183, 'stories_id': 498427327, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Right'}, {'foci_id': 1174, 'stories_id': 498427327, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}]",152783
513168769,https://accounts.google.com/ServiceLogin?service=oz&passive=1209600&continue=https://plus.google.com/up/?continue%3Dhttps://plus.google.com/share?url%253Dhttp://www.usatoday.com/story/news/politics/elections/2016/06/09/donald-trump-unpaid-bills-republican-president-laswuits/85297274/%26gpsrc%3Dgplp0,accounts.google.com,18673,Google+,2016-06-09 08:00:00,1879,,127285,1,0,[],0
589188400,https://www.pinterest.com/pin/create/button/?url=http%3a%2f%2fwww.usatoday.com%2fstory%2fnews%2fpolitics%2felections%2f2016%2f06%2f09%2fdonald-trump-unpaid-bills-republican-president-laswuits%2f85297274%2f&description=USA+TODAY+exclusive%3a+Hundreds+allege+Donald+Trump+doesn%E2%80%99t+pay+his+bills&media=,Pinterest,20448,Pinterest • The world’s catalog of ideas,2010-01-06 07:00:00,1879,,127285,1,0,"[{'foci_id': 1183, 'stories_id': 589188400, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Right'}, {'foci_id': 1174, 'stories_id': 589188400, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}]",0
412779510,http://feeds.feedblitz.com/usatodaycomwashington-topstories,feedblitz.com,123615,USATODAY - Washington Top Stories,undateable,1879,,127285,4038,24,[],4
621098203,http://www.thesmokinggun.com/file/trump-draft-deferment?page=0,thesmokinggun.com,367398,Trump Draft Deferment,2015-07-18 08:22:49,1879,,127285,17,0,[],5635
484321651,http://newyork.cbslocal.com/2016/03/04/trump-rally-fight/,newyork.cbslocal.com,18957,Trump Says Fight At Rally 'Amazing To Watch',2016-03-04 13:06:00,1879,,127285,24,0,"[{'foci_id': 1182, 'stories_id': 484321651, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left'}, {'foci_id': 1173, 'stories_id': 484321651, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}]",716
484368452,http://abc11.com/politics/donald-trump-rallies-supporters-in-fayetteville/1237853/,abc11.com,115865,"Fayetteville cops separate Trump fans, foes after rally",2016-03-09 07:42:13,1879,,127285,4,0,[],3831
