stories_id,url,media_name,media_id,title,publish_date,snapshots_id,foci_id,timespans_id,inlink_count,outlink_count,foci,facebook_share_count
485036683,http://uk.reuters.com/article/trump-investors-dollar-idUKN26147420080626,Reuters,4442,Trump cashes in on weak dollar with overseas sales,2008-06-26 15:12:00,1879,,127285,2,0,"[{'foci_id': 1174, 'stories_id': 485036683, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}, {'foci_id': 1173, 'stories_id': 485036683, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1181, 'stories_id': 485036683, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center'}, {'foci_id': 1172, 'stories_id': 485036683, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",4
485017919,http://therealdeal.com/issues_articles/condo-hotels-gone-for-good/,therealdeal.com,84948,Condo-hotels: gone for good?,undateable,1879,,127285,1,0,[],0
545477989,http://www.newsmax.com/PrintTemplate.aspx/?nodeid=670922#ixzz3jMgoO845,NewsMax,25349,PrintTemplate,2015-08-19 16:19:00,1879,,127285,1,0,"[{'foci_id': 1174, 'stories_id': 545477989, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}]",0
501771973,http://taxhistory.org/www/website.nsf/Web/PresidentialTaxReturns?OpenDocument,taxhistory.org,82687,Tax History Project -- Presidential Tax Returns,undateable,1879,,127285,139,0,"[{'foci_id': 1170, 'stories_id': 501771973, 'focal_set_name': 'Clinton Foundation', 'name': 'russian oil'}]",849
441700702,https://www.washingtonpost.com/news/the-fix/wp/2016/02/25/the-cnntelemundo-republican-debate-transcript-annotated/?ref,Washington Post,2,"The CNN-Telemundo Republican debate transcript, annotated",2016-02-25 07:00:00,1879,,127285,110,0,"[{'foci_id': 1182, 'stories_id': 441700702, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left'}, {'foci_id': 1173, 'stories_id': 441700702, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1170, 'stories_id': 441700702, 'focal_set_name': 'Clinton Foundation', 'name': 'russian oil'}, {'foci_id': 1172, 'stories_id': 441700702, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}, {'foci_id': 1168, 'stories_id': 441700702, 'focal_set_name': 'Clinton Foundation', 'name': 'Clinton Foundation'}]",1414
441623201,https://www.hillaryclinton.com/tax-returns/,hillaryclinton.com,73449,"Hillary Clinton releases health, financial records",undateable,1879,,127285,108,0,"[{'foci_id': 1173, 'stories_id': 441623201, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}]",2513
478619820,http://www.nbcnews.com/meet-the-press/meet-press-may-8-2016-n570111,NBC News,25499,"Meet the Press - May 8, 2016",2016-05-08 08:00:00,1879,,127285,97,0,"[{'foci_id': 1182, 'stories_id': 478619820, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left'}, {'foci_id': 1173, 'stories_id': 478619820, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1172, 'stories_id': 478619820, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",220
484421855,https://www.facebook.com/mittromney/posts/10153487016861121?_fb_noscript=1,Facebook,61164,https://www.facebook.com/mittromney/posts/10153487016861121?_fb_noscript=1,undateable,1879,,127285,82,0,"[{'foci_id': 1174, 'stories_id': 484421855, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}]",0
484398693,http://bigstory.ap.org/article/087bc8bc5028405c80fa20cea70be877/ap-interview-trump-narrows-vp-list-he-moves-general,AP,209366,AP Interview: Trump down to 5 or 6 choices for VP,2016-05-11 17:13:32,1879,,127285,84,0,"[{'foci_id': 1182, 'stories_id': 484398693, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left'}, {'foci_id': 1173, 'stories_id': 484398693, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1172, 'stories_id': 484398693, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",505
365933271,http://rss.nytimes.com/c/34625/f/642562/s/489cc19c/sc/7/l/0L0Snytimes0N0Cpolitics0Cfirst0Edraft0C20A150C0A70C310Chillary0Eclinton0Ereleases0E80Eyears0Eof0Etax0Ereturns0C0Dpartner0Frss0Gemc0Frss/story01.htm,New York Times,1,First Draft: Tax Returns Show Clintons Made $139 Million Over 8 Years,2015-07-31 18:26:07,1879,,127285,8,0,"[{'foci_id': 1182, 'stories_id': 365933271, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left'}, {'foci_id': 1173, 'stories_id': 365933271, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1172, 'stories_id': 365933271, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",3288
