stories_id,url,media_name,media_id,title,publish_date,snapshots_id,foci_id,timespans_id,inlink_count,outlink_count,foci,facebook_share_count
520269664,http://www.nytimes.com/2016/10/01/us/politics/donald-trump-interview-bill-hillary-clinton.html?partner=rss&emc=rss,New York Times,1,Donald Trump Opens New Line of Attack on Hillary Clinton: Her Marriage,2016-09-30 20:53:21,1879,,127285,106,0,"[{'foci_id': 1182, 'stories_id': 520269664, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left'}, {'foci_id': 1173, 'stories_id': 520269664, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1170, 'stories_id': 520269664, 'focal_set_name': 'Clinton Foundation', 'name': 'russian oil'}, {'foci_id': 1172, 'stories_id': 520269664, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}, {'foci_id': 1168, 'stories_id': 520269664, 'focal_set_name': 'Clinton Foundation', 'name': 'Clinton Foundation'}]",43031
540463751,http://news3lv.com/news/local/exclusive-one-on-one-with-presidential-candidate-donald-trump,news3lv.com,266264,EXCLUSIVE | One-on-one with presidential candidate Donald Trump,undateable,1879,,127285,81,0,[],702
523176712,http://www.politico.com/story/2016/10/mike-pence-donald-trump-comments-women-229303,Politico,18268,Pence ducked reporters when Trump video was published,2016-10-07 17:36:17,1879,,127285,6,0,"[{'foci_id': 1182, 'stories_id': 523176712, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left'}, {'foci_id': 1173, 'stories_id': 523176712, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1172, 'stories_id': 523176712, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",4390
540624612,https://www.youtube.com/watch?v=FFneEUeZQVY&feature=youtu.be&t=6m59s,YouTube,18362,"Arianne Zuker: 2005 ""SoapTalk"" Part 1",2009-08-07 08:00:00,1879,,127285,7,0,[],505
441857683,http://abcnews.go.com/Politics/meet-pro-donald-trump-women-belie-negative-polling/story?id=38136563,ABC News,39000,Meet the Pro-Trump Women Who Defy His Negative Polling ,2016-04-04 12:45:17,1879,,127285,2,0,"[{'foci_id': 1174, 'stories_id': 441857683, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}, {'foci_id': 1173, 'stories_id': 441857683, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1181, 'stories_id': 441857683, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center'}, {'foci_id': 1172, 'stories_id': 441857683, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",2270
442680084,http://thehill.com/blogs/ballot-box/presidential-races/275148-melania-trump-hits-campaign-trail-for-husband,The Hill,18364,"On trail, Melania Trump says her husband will treat everyone equally",2016-04-04 21:33:16,1879,,127285,1,0,"[{'foci_id': 1174, 'stories_id': 442680084, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}, {'foci_id': 1173, 'stories_id': 442680084, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1181, 'stories_id': 442680084, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center'}, {'foci_id': 1172, 'stories_id': 442680084, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",3408
359188176,http://feedproxy.google.com/~r/businessinsider/~3/INO3GpjQ-_k/donald-trumps-epic-statement-on-mexico-2015-7,Business Insider,18710,Donald Trump just released an epic statement raging against Mexican immigrants and 'disease',2015-07-06 16:47:00,1879,,127285,105,3,"[{'foci_id': 1174, 'stories_id': 359188176, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}, {'foci_id': 1173, 'stories_id': 359188176, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1181, 'stories_id': 359188176, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center'}, {'foci_id': 1172, 'stories_id': 359188176, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",8583
441610025,http://www.immigrationpolicy.org/special-reports/criminalization-immigration-united-states,immigrationpolicy.org,84967,The Criminalization of Immigration in the United States | Immigration Policy Center,undateable,1879,,127285,71,0,[],6849
484351864,http://cironline.org/reports/four-five-border-patrol-drug-busts-involve-us-citizens-records-show-4312,cironline.org,32463,"Four of five Border Patrol drug busts involve US citizens, records show | The Center for Investigative Reporting",2013-03-26 08:00:00,1879,,127285,2,0,[],902
478469127,http://www.nytimes.com/politics/first-draft/2015/11/06/ben-carson-west-point/?smid=tw-nytpolitics&smtyp=cur&_r=1,New York Times,1,Ben Carson Resists Challenges to the Life Story He Rode to Political Prominence,2015-11-06 12:43:16,1879,,127285,12,0,"[{'foci_id': 1182, 'stories_id': 478469127, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left'}, {'foci_id': 1173, 'stories_id': 478469127, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1172, 'stories_id': 478469127, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",34282
