stories_id,url,media_name,media_id,title,publish_date,snapshots_id,foci_id,timespans_id,inlink_count,outlink_count,foci,facebook_share_count
540509202,https://www.scribd.com/document/326770514/Judge-Status-Conference-Order-Jane-Doe-V-Trump#download&from_embed,Scribd,18529,Judge Status Conference Order Jane Doe. V Trump,2012-06-20 08:00:00,1879,,127285,9,0,"[{'foci_id': 1183, 'stories_id': 540509202, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Right'}, {'foci_id': 1174, 'stories_id': 540509202, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}]",4034
508124067,http://search.opinionarchives.com/Summary/AmericanSpectator/V29I11P34-1.htm,opinionarchives.com,249814,American Spectator American Spectator - Whatever Happened to Iraqgate?,2016-07-29 09:26:52,1879,,127285,16,0,"[{'foci_id': 1170, 'stories_id': 508124067, 'focal_set_name': 'Clinton Foundation', 'name': 'russian oil'}, {'foci_id': 1168, 'stories_id': 508124067, 'focal_set_name': 'Clinton Foundation', 'name': 'Clinton Foundation'}]",3
508116956,http://www.washingtonpost.com/wp-dyn/content/article/2007/12/08/AR2007120801551.html,Washington Post,2,What You May Not Know About Hillary Clinton,2007-12-08 07:00:00,1879,,127285,15,0,"[{'foci_id': 1182, 'stories_id': 508116956, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left'}, {'foci_id': 1173, 'stories_id': 508116956, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1172, 'stories_id': 508116956, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",139
504388915,https://news.vice.com/article/we%2Dvisited%2Dthe%2Dend%2Dof%2Dthe%2Dtunnel%2Dwhere%2Del%2Dchapo%2Dmade%2Dhis%2Dbrazen%2Djailbreak?utm_source=vicenewstwitter,Vice,26164,We Visited the End of the Tunnel Where 'El Chapo' Made His Brazen Jailbreak | VICE News,undateable,1879,,127285,5,0,"[{'foci_id': 1182, 'stories_id': 504388915, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left'}, {'foci_id': 1173, 'stories_id': 504388915, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}]",5422
484988143,https://foia.state.gov/Search/Results.aspx?collection=Clinton_Email_September_Release,foia.state.gov,73553,Virtual Reading Room Documents Search Results: U.S. Department of State - Freedom of Information Act,undateable,1879,,127285,409,0,"[{'foci_id': 1183, 'stories_id': 484988143, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Right'}, {'foci_id': 1174, 'stories_id': 484988143, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}]",140
512783487,http://www.independent.co.uk/news/world/africa/amnesty-questions-claim-that-gaddafi-ordered-rape-as-weapon-of-war-2302037.html,Independent,41150,Amnesty questions claim that Gaddafi ordered rape as weapon of war,2011-06-24 12:00:00,1879,,127285,23,0,"[{'foci_id': 1182, 'stories_id': 512783487, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left'}, {'foci_id': 1173, 'stories_id': 512783487, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}]",4394
497954502,https://levantreport.com/2016/01/04/new-hillary-emails-reveal-propaganda-executions-coveting-libyan-oil-and-gold/,levantreport.com,279033,"New Hillary Emails Reveal Propaganda, Executions, Coveting Libyan Oil and Gold",2016-01-04 16:10:09,1879,,127285,23,4,"[{'foci_id': 1171, 'stories_id': 497954502, 'focal_set_name': 'Emails', 'name': 'Emails'}]",2691
485964680,http://www.cnn.com/2015/12/31/politics/clinton-email-release-state-department-behind/,CNN,1095,State Department releases new Hillary Clinton emails - CNNPolitics.com,2015-12-31 07:00:00,1879,,127285,13,0,"[{'foci_id': 1182, 'stories_id': 485964680, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left'}, {'foci_id': 1173, 'stories_id': 485964680, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1171, 'stories_id': 485964680, 'focal_set_name': 'Emails', 'name': 'Emails'}, {'foci_id': 1172, 'stories_id': 485964680, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",3425
498071448,http://dailycaller.com/2015/12/31/sid-blumenthal-floated-disputed-gaddafi-viagra-rape-rumor-in-confidential-memo-to-hillary/,Daily Caller,18775,Sid Blumenthal Floated Disputed Gaddafi Viagra Rape Rumor In Confidential Memo To Hillary,2015-12-31 07:00:00,1879,,127285,7,0,"[{'foci_id': 1174, 'stories_id': 498071448, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}, {'foci_id': 1171, 'stories_id': 498071448, 'focal_set_name': 'Emails', 'name': 'Emails'}, {'foci_id': 1172, 'stories_id': 498071448, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",514
589324515,http://observer.com/2016/07/wikileaks-proves-primary-was-rigged-dnc-undermined-democracy/?utm_source=akdart,Observer,28335,Wikileaks Proves Primary Was Rigged: DNC Undermined Democracy,2016-07-22 14:00:34,1879,,127285,65,4,"[{'foci_id': 1183, 'stories_id': 589324515, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Right'}, {'foci_id': 1174, 'stories_id': 589324515, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}, {'foci_id': 1171, 'stories_id': 589324515, 'focal_set_name': 'Emails', 'name': 'Emails'}]",0
