stories_id,url,media_name,media_id,title,publish_date,snapshots_id,foci_id,timespans_id,inlink_count,outlink_count,foci,facebook_share_count
547853858,http://www.nytimes.com/interactive/2016/us/elections/presidential-candidates-dashboard.html?rref=upshot&smid=tw-upshotnyt&smtyp=cur&_r=0,New York Times,1,Who’s Winning the Presidential Campaign?,2016-02-02 15:19:00,1879,,127285,44,0,"[{'foci_id': 1182, 'stories_id': 547853858, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left'}, {'foci_id': 1173, 'stories_id': 547853858, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1172, 'stories_id': 547853858, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",10018
413169828,http://feeds.washingtonpost.com/c/34656/f/645348/s/4cbde860/sc/7/l/0M0Swashingtonpost0N0Cnews0Cpost0Epolitics0Cwp0C20A160C0A10C0A80Cmuslim0Ewoman0Eescorted0Eout0Eof0Etrump0Erally0Ein0Esouth0Ecarolina0C/story01.htm,Washington Post,2,Muslim woman escorted out of Trump rally in South Carolina,2016-01-08 22:40:33,1879,,127285,27,0,"[{'foci_id': 1182, 'stories_id': 413169828, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left'}, {'foci_id': 1173, 'stories_id': 413169828, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1172, 'stories_id': 413169828, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",21545
413373840,http://feedproxy.google.com/~r/breitbart/~3/EWFP-nigFyo/,Breitbart,19334,"Islamic Protester Booted from Trump Rally Is Anti-Israel Activist, Promotes Radical Imams",2016-01-09 15:41:32,1879,,127285,12,1,"[{'foci_id': 1174, 'stories_id': 413373840, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}, {'foci_id': 1172, 'stories_id': 413373840, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",41424
499929853,http://shoebat.com/2016/01/09/90806/,shoebat.com,29786,Rose Hamid Is Another Terrorist Supporting Muslim Masquerading As A Good American,2013-02-03 07:00:00,1879,,127285,3,0,"[{'foci_id': 1174, 'stories_id': 499929853, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}, {'foci_id': 1170, 'stories_id': 499929853, 'focal_set_name': 'Clinton Foundation', 'name': 'russian oil'}]",9476
383832428,http://theconservativetreehouse.com/2015/10/02/polling-convergence-oangravis-and-reuters-show-donald-trump-surging-with-34-35-support/,Conservative Treehouse,24829,Polling Convergence &#8211; OAN/GRAVIS and Reuters Show Donald Trump Surging With 34 &#8211; 35% Support&#8230;,2015-10-02 18:15:38,1879,,127285,3,2,"[{'foci_id': 1174, 'stories_id': 383832428, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}]",1400
330492081,http://www.breitbart.com/author/jordan-jschachtel/,Breitbart,19334,"Jordan Schachtel, Author at Breitbart",undateable,1879,,127285,2,0,"[{'foci_id': 1174, 'stories_id': 330492081, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}, {'foci_id': 1170, 'stories_id': 330492081, 'focal_set_name': 'Clinton Foundation', 'name': 'russian oil'}, {'foci_id': 1172, 'stories_id': 330492081, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}, {'foci_id': 1168, 'stories_id': 330492081, 'focal_set_name': 'Clinton Foundation', 'name': 'Clinton Foundation'}]",3
587082535,https://reclaimourrepublic.wordpress.com,reclaimourrepublic.wordpress.com,146099,Reclaim Our Republic,undateable,1879,,127285,2,9,"[{'foci_id': 1171, 'stories_id': 587082535, 'focal_set_name': 'Emails', 'name': 'Emails'}, {'foci_id': 1170, 'stories_id': 587082535, 'focal_set_name': 'Clinton Foundation', 'name': 'russian oil'}]",60
591232611,https://www.facebook.com/login/?next=https%3A%2F%2Fl.facebook.com%2Fflx%2Fwarn%2F%3Fu%3Dhttp%253A%252F%252Fwww.teaparty.org%252Fmarco-rubio-casts-deciding-vote-fo%26amp%253Bh%3DATPzCCIBQhBAN_Mm-em6PzUV37gYKjmlgJ6UxJiDmqTLx_nhCpynXcT1oinGf7Bm9-FdLF4D8UDKZyP99uSrxwL0%26amp%253B_fb_noscript%3D1,Facebook,61164,https://www.facebook.com/login/?next=https%3A%2F%2Fl.facebook.com%2Fflx%2Fwarn%2F%3Fu%3Dhttp%253A%252F%252Fwww.teaparty.org%252Fmarco-rubio-casts-deciding-vote-fo%26amp%253Bh%3DATPzCCIBQhBAN_Mm-em6PzUV37gYKjmlgJ6UxJiDmqTLx_nhCpynXcT1oinGf7Bm9-FdLF4D8UDKZyP99uSrxwL0%26amp%253B_fb_noscript%3D1,undateable,1879,,127285,1,0,"[{'foci_id': 1174, 'stories_id': 591232611, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}]",0
587216130,https://www.facebook.com/Progressives-For-Donald-Trump-131741683834192/?_fb_noscript=1,Facebook,61164,https://www.facebook.com/Progressives-For-Donald-Trump-131741683834192/?_fb_noscript=1,undateable,1879,,127285,1,0,"[{'foci_id': 1174, 'stories_id': 587216130, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}]",0
592612118,https://www.youtube.com/watch?v=52-7FykvE3g,YouTube,18362,"Rose Hamid the ""Peaceful"" Muslim escorted from SC Trump rally",2016-01-08 07:00:00,1879,,127285,1,0,"[{'foci_id': 1171, 'stories_id': 592612118, 'focal_set_name': 'Emails', 'name': 'Emails'}]",152
