stories_id,url,media_name,media_id,title,publish_date,snapshots_id,foci_id,timespans_id,inlink_count,outlink_count,foci,facebook_share_count
606210022,http://2016.clintonfoundation.org/,clintonfoundation.org,27131,Clinton Foundation – 2016 Annual Report,undateable,1879,,127285,260,0,"[{'focal_set_name': 'Clinton Foundation', 'foci_id': 1170, 'stories_id': 606210022, 'name': 'russian oil'}, {'focal_set_name': 'Clinton Foundation', 'foci_id': 1168, 'stories_id': 606210022, 'name': 'Clinton Foundation'}]",1507
543549523,https://en.wikipedia.org/wiki/Donald_Trump#Early_life.2C_education_and_military_status,Wikipedia,18370,Donald Trump - Wikipedia,undateable,1879,,127285,182,0,"[{'focal_set_name': 'Retweet Partisanship Quintiles', 'foci_id': 1183, 'stories_id': 543549523, 'name': 'Center Right'}, {'focal_set_name': 'Retweet Partisanship Halves', 'foci_id': 1174, 'stories_id': 543549523, 'name': 'Right Half'}, {'focal_set_name': 'Emails', 'foci_id': 1171, 'stories_id': 543549523, 'name': 'Emails'}, {'focal_set_name': 'Clinton Foundation', 'foci_id': 1170, 'stories_id': 543549523, 'name': 'russian oil'}, {'focal_set_name': 'Clinton Foundation', 'foci_id': 1168, 'stories_id': 543549523, 'name': 'Clinton Foundation'}]",131483
551268919,http://www.msnbc.com/msnbc/ben-carson-does-not-believe-muslim-should-be-president?cid=sm_tw_msnbc,MSNBC,1149,Ben Carson does not believe a Muslim should be president,undateable,1879,,127285,126,0,"[{'focal_set_name': 'Retweet Partisanship Halves', 'foci_id': 1173, 'stories_id': 551268919, 'name': 'Left Half'}, {'focal_set_name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 551268919, 'name': 'Mass Market Media'}]",10134
353712094,http://feeds.theguardian.com/c/34708/f/663828/s/474c06e3/sc/7/l/0L0Stheguardian0N0Cus0Enews0C20A150Cjun0C160Cdonald0Etrump0Emexico0Epresidential0Espeech0Elatino0Ehispanic/story01.htm,Guardian,1751,Donald Trump's tirade on Mexico's 'drugs and rapists' outrages US Latinos,2015-06-16 16:00:03,1879,,127285,77,0,"[{'focal_set_name': 'Retweet Partisanship Quintiles', 'foci_id': 1182, 'stories_id': 353712094, 'name': 'Center Left'}, {'focal_set_name': 'Retweet Partisanship Halves', 'foci_id': 1173, 'stories_id': 353712094, 'name': 'Left Half'}, {'focal_set_name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 353712094, 'name': 'Mass Market Media'}]",17630
548558462,http://www.cnn.com/2015/12/21/politics/donald-trump-hillary-clinton-disgusting/index.html?sr=twCNN122215donald-trump-hillary-clinton-disgusting0550AMVODtopLink&linkId=19781762,CNN,1095,Donald Trump: Hillary Clinton 'got schlonged' in 2008 - CNNPolitics.com,2015-12-21 07:00:00,1879,,127285,60,0,"[{'focal_set_name': 'Retweet Partisanship Quintiles', 'foci_id': 1182, 'stories_id': 548558462, 'name': 'Center Left'}, {'focal_set_name': 'Retweet Partisanship Halves', 'foci_id': 1173, 'stories_id': 548558462, 'name': 'Left Half'}, {'focal_set_name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 548558462, 'name': 'Mass Market Media'}]",32920
393623653,http://www.tampabay.com/news/politics/stateroundup/marco-rubio-spent-lavishly-on-a-gop-credit-card-but-some-transactions-are/2252470,Tampa Bay Times,22,"Marco Rubio spent lavishly on a GOP credit card, but some transactions are still secret",2015-11-03 19:32:40,1879,,127285,48,0,"[{'focal_set_name': 'Retweet Partisanship Halves', 'foci_id': 1174, 'stories_id': 393623653, 'name': 'Right Half'}, {'focal_set_name': 'Retweet Partisanship Halves', 'foci_id': 1173, 'stories_id': 393623653, 'name': 'Left Half'}, {'focal_set_name': 'Retweet Partisanship Quintiles', 'foci_id': 1181, 'stories_id': 393623653, 'name': 'Center'}, {'focal_set_name': 'Emails', 'foci_id': 1171, 'stories_id': 393623653, 'name': 'Emails'}]",9493
443076752,https://www.washingtonpost.com/politics/as-ben-carson-bashes-obama-many-blacks-see-a-heros-legacy-fade/2015/05/02/b9ce53c8-e850-11e4-9767-6276fc9b0ada_story.html,Washington Post,2,"As Ben Carson bashes Obama, many blacks see a heroâs legacy fade",2015-05-02 08:00:00,1879,,127285,32,0,"[{'focal_set_name': 'Retweet Partisanship Quintiles', 'foci_id': 1182, 'stories_id': 443076752, 'name': 'Center Left'}, {'focal_set_name': 'Retweet Partisanship Halves', 'foci_id': 1173, 'stories_id': 443076752, 'name': 'Left Half'}, {'focal_set_name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 443076752, 'name': 'Mass Market Media'}]",319
478454311,http://www.nbcnews.com/meet-the-press/meet-press-october-25-2015-n451121,NBC News,25499,"Meet the Press - October 25, 2015",2015-10-25 08:00:00,1879,,127285,41,0,"[{'focal_set_name': 'Retweet Partisanship Quintiles', 'foci_id': 1182, 'stories_id': 478454311, 'name': 'Center Left'}, {'focal_set_name': 'Retweet Partisanship Halves', 'foci_id': 1173, 'stories_id': 478454311, 'name': 'Left Half'}, {'focal_set_name': 'Emails', 'foci_id': 1171, 'stories_id': 478454311, 'name': 'Emails'}, {'focal_set_name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 478454311, 'name': 'Mass Market Media'}]",315
494667636,http://2016.republican-candidates.org/#Declared-Republican-Candidates,republican-candidates.org,200876,Republican Presidential Candidates 2016,undateable,1879,,127285,29,11,[],80
513204357,http://www.cnn.com/2016/08/18/politics/trump-i-regret-sometimes-saying-wrong-thing/,CNN,1095,"Donald Trump expresses regret for saying 'the wrong thing,' doesn't specify - CNNPolitics.com",2016-08-18 08:00:00,1879,,127285,30,2,"[{'focal_set_name': 'Retweet Partisanship Quintiles', 'foci_id': 1182, 'stories_id': 513204357, 'name': 'Center Left'}, {'focal_set_name': 'Retweet Partisanship Halves', 'foci_id': 1173, 'stories_id': 513204357, 'name': 'Left Half'}, {'focal_set_name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 513204357, 'name': 'Mass Market Media'}]",15895
