stories_id,url,media_name,media_id,title,publish_date,snapshots_id,foci_id,timespans_id,inlink_count,outlink_count,foci,facebook_share_count
534322651,http://observer.com/2016/10/2006-audio-emerges-of-hillary-clinton-proposing-rigging-palestine-election/,Observer,28335,2006 Audio Emerges of Hillary Clinton Proposing Rigging Palestine Election,2016-10-28 13:00:13,1879,,127285,32,3,"[{'focal_set_name': 'Retweet Partisanship Quintiles', 'foci_id': 1183, 'stories_id': 534322651, 'name': 'Center Right'}, {'focal_set_name': 'Retweet Partisanship Halves', 'foci_id': 1174, 'stories_id': 534322651, 'name': 'Right Half'}]",167877
441888118,https://www.documentcloud.org/documents/2158218-hillary-clintons-letter-to-haim-saban-against-bds.html,documentcloud.org,20397,Hillary Clinton's Letter to Haim Saban Against BDS,2015-07-06 16:25:14,1879,,127285,39,0,"[{'focal_set_name': 'Retweet Partisanship Halves', 'foci_id': 1173, 'stories_id': 441888118, 'name': 'Left Half'}]",1453
537243328,http://www.votepact.org,votepact.org,73473,Vote Pact,undateable,1879,,127285,23,7,[],1395
607207655,https://www.middleeastmonitor.com/20160421-when-medicine-is-polluted-by-israels-occupation/,middleeastmonitor.com,97329,When medicine is polluted by Israel’s occupation,2016-04-21 11:13:00,1879,,127285,3,0,[],394
439907247,http://mondoweiss.net/2016/03/we-dont-want-to-find-ourselves-in-a-position-like-apartheid-south-africa-a-report-from-israels-first-national-conference-against-bds/,mondoweiss.net,64600,&#8216;We don’t want to find ourselves in a position like apartheid South Africa&#8217;: A report from Israel&#8217;s first national conference against BDS,2016-03-29 13:10:51,1879,,127285,2,0,[],989
607829452,http://www.palestinechronicle.com/when-medicine-is-polluted-by-israels-occupation/?print=print,palestinechronicle.com,107777,http://www.palestinechronicle.com/when-medicine-is-polluted-by-israels-occupation/?print=print,undateable,1879,,127285,1,1,[],0
592240370,http://www.arabamerica.com/78710-2/,arabamerica.com,120400,"Arab America Poll Shows Growing Support for Clinton, Consistent Support for Stein",2016-11-02 12:49:48,1879,,127285,1,1,[],173
592214136,http://www.palestinechronicle.com/arab-americans-should-reject-both-clinton-and-trump-this-election/feed/,palestinechronicle.com,107777,Comments on: Arab Americans Should Reject Both Clinton and Trump This Election,undateable,1879,,127285,1,1,[],0
599548116,http://www.palestinechronicle.com/trumps-self-inflicted-fall/feed/,palestinechronicle.com,107777,Comments on: Trump’s Self-Inflicted Fall,undateable,1879,,127285,1,1,[],0
587675248,http://www.palestinechronicle.com/26672-2/feed/,palestinechronicle.com,107777,Comments on: Clinton Regrets Not Rigging Palestinian Election to Prevent Hamas Victory,2017-02-24 12:06:02,1879,,127285,1,1,[],0
601804077,http://www.palestinechronicle.com/23807/?print=print,palestinechronicle.com,107777,http://www.palestinechronicle.com/23807/?print=print,2016-04-06 09:59:55,1879,,127285,1,2,[],0
592167454,http://www.palestinechronicle.com/voting-for-hilary-clinton-red-lines-versus-lesser-of-evils/feed/,palestinechronicle.com,107777,Comments on: Voting for Hilary Clinton? Red Lines versus Lesser of Evils,undateable,1879,,127285,1,0,[],0
443732719,http://www.palestinechronicle.com,palestinechronicle.com,107777,The Palestine Chronicle - PalestineChronicle.com,undateable,1879,,127285,7,4,[],2699
