stories_id,url,media_name,media_id,title,publish_date,snapshots_id,foci_id,timespans_id,inlink_count,outlink_count,foci,facebook_share_count
492255448,https://www.donaldjtrump.com/press-releases/donald-j.-trump-on-the-stakes-of-the-election,donaldjtrump.com,269331,SHOW YOUR SUPPORT FOR DONALD TRUMP,undateable,1879,,127285,1071,23,"[{'foci_id': 1174, 'stories_id': 492255448, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}, {'foci_id': 1171, 'stories_id': 492255448, 'focal_set_name': 'Emails', 'name': 'Emails'}, {'foci_id': 1170, 'stories_id': 492255448, 'focal_set_name': 'Clinton Foundation', 'name': 'russian oil'}, {'foci_id': 1168, 'stories_id': 492255448, 'focal_set_name': 'Clinton Foundation', 'name': 'Clinton Foundation'}]",550
412823003,https://www.donaldjtrump.com/positions/immigration-reform,donaldjtrump.com,269331,Immigration Reform,undateable,1879,,127285,989,1,"[{'foci_id': 1174, 'stories_id': 412823003, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}]",7594
493394681,https://www.fbi.gov/news/pressrel/press-releases/statement-by-fbi-director-james-b-comey-on-the-investigation-of-secretary-hillary-clinton2019s-use-of-a-personal-e-mail-system,FBI,18620,Statement by FBI Director James B. Comey on the Investigation of Secretary Hillary Clinton’s Use of a Personal E-Mail System,undateable,1879,,127285,624,0,"[{'foci_id': 1174, 'stories_id': 493394681, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}]",13616
240391253,http://realclearpolitics.com/,Real Clear Politics,1040,"RealClearPolitics - Opinion, News, Analysis, Videos and Polls",undateable,1879,,127285,455,18,"[{'foci_id': 1183, 'stories_id': 240391253, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Right'}, {'foci_id': 1174, 'stories_id': 240391253, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}, {'foci_id': 1172, 'stories_id': 240391253, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",43215
540450961,https://mobile.twitter.com/realDonaldTrump/status/781788223055994880,Twitter,18346,Twitter,2016-09-30 08:00:00,1879,,127285,379,0,[],14668
537389157,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch_nov4,rasmussenreports.com,25209,White House Watch - Rasmussen Reports™,2016-11-04 08:00:00,1879,,127285,354,0,"[{'foci_id': 1174, 'stories_id': 537389157, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}]",829
412849797,https://www.donaldjtrump.com/positions/second-amendment-rights,donaldjtrump.com,269331,Second Amendment Rights,undateable,1879,,127285,247,0,"[{'foci_id': 1174, 'stories_id': 412849797, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}]",41427
512211016,https://www.yahoo.com/politics/donald-trump-has-big-plans-1303117537878070.html,UK Yahoo Answers,62926,"Donald Trump has big plans for ‘radical Islamic’ terrorists, 2016 and ‘that communist’ Bernie Sanders",2015-11-19 07:00:00,1879,,127285,273,0,"[{'foci_id': 1174, 'stories_id': 512211016, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}, {'foci_id': 1173, 'stories_id': 512211016, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1181, 'stories_id': 512211016, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center'}, {'foci_id': 1171, 'stories_id': 512211016, 'focal_set_name': 'Emails', 'name': 'Emails'}, {'foci_id': 1172, 'stories_id': 512211016, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",78
540450717,https://wikileaks.org/podesta-emails/emailid/927,Wikileaks,57088,HRC Paid Speeches - WikiLeaks,2000-01-25 07:00:00,1879,,127285,215,0,"[{'foci_id': 1174, 'stories_id': 540450717, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}, {'foci_id': 1171, 'stories_id': 540450717, 'focal_set_name': 'Emails', 'name': 'Emails'}]",16837
540502576,https://mobile.twitter.com/realDonaldTrump/status/781784161044553728,Twitter,18346,Twitter,2016-09-30 08:00:00,1879,,127285,172,0,[],661
441631667,http://thehill.com/people/hillary-clinton,The Hill,18364,Clinton,undateable,1879,,127285,185,0,"[{'foci_id': 1174, 'stories_id': 441631667, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}, {'foci_id': 1173, 'stories_id': 441631667, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1181, 'stories_id': 441631667, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center'}, {'foci_id': 1172, 'stories_id': 441631667, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",167
