hostname,outlink,count
19719,1751,1
19719,18391,1
19719,104828,1
19719,1104,1
19719,24757,1
19719,26743,1
19719,19765,1
19719,18358,1
35543,5816,1
239288,18346,19
239288,39000,2
239288,18362,1
239288,1149,1
239288,4419,1
239288,104129,1
239288,24757,1
239288,18992,1
239288,294212,1
180161,2,2
180161,1,2
180161,18268,2
180161,1095,1
180161,18362,1
180161,1150,1
180161,61164,1
180161,4442,1
180161,113,1
180161,111,1
180161,209366,1
180161,18186,1
19711,111,2
19711,18268,1
19711,18364,1
19711,26164,1
19711,4434,1
19710,18362,1
19710,18370,1
19710,366828,1
19710,301600,1
55612,18346,5
55612,294181,1
110009,1751,1
110009,1759,1
73467,2,5
73467,18364,4
73467,18268,2
73467,1095,2
73467,27502,2
73467,269138,2
73467,1,1
73467,1040,1
73467,39000,1
73467,18391,1
73467,104828,1
73467,4442,1
73467,1109,1
73467,5880,1
73467,18704,1
73467,1127,1
73467,21933,1
73467,6154,1
73467,26924,1
73467,131240,1
73467,1706,1
73467,269457,1
73467,140,1
73467,39200,1
73467,1720,1
73467,18779,1
73467,111647,1
35239,61164,13
35239,278095,12
35239,18362,4
35239,269331,3
35239,18404,3
35239,269457,3
35239,27093,3
35239,18346,2
35239,18268,1
35239,221763,1
35239,70042,1
35239,25776,1
35239,90724,1
35239,26509,1
35239,99057,1
35239,287886,1
35239,73708,1
35239,304966,1
35239,35178,1
297347,366277,1
110044,18346,4
110044,1752,4
110044,269331,2
110044,73449,1
110044,18529,1
110044,305386,1
110044,35239,1
110044,93744,1
75673,2,2
75673,1,2
75673,18364,1
75673,91032,1
69958,67140,1
67140,2,29
67140,366113,16
67140,1095,15
67140,1110,14
67140,1,13
67140,4428,13
67140,18268,11
67140,1149,8
67140,1150,8
67140,269331,6
67140,67264,6
67140,18362,5
67140,1040,5
67140,18364,5
67140,39000,4
67140,18391,4
67140,4442,4
67140,209366,4
67140,21486,4
67140,18346,3
67140,1109,3
67140,1100,3
67140,6270,3
67140,69881,3
67140,27502,2
67140,25499,2
67140,40944,2
67140,1092,2
67140,64866,2
67140,6443,2
67140,73449,2
67140,62926,2
67140,111,2
67140,367244,2
67140,41550,2
67140,84582,2
67140,25209,2
67140,25316,2
67140,30082,2
67140,366191,2
67140,67632,2
67140,18370,1
67140,61164,1
67140,6218,1
67140,1096,1
67140,104828,1
67140,1117,1
67140,18710,1
67140,1707,1
67140,6,1
67140,18775,1
67140,4425,1
67140,7,1
67140,113,1
67140,221763,1
67140,1757,1
67140,21936,1
67140,1747,1
67140,15,1
67140,25649,1
67140,1755,1
67140,72,1
67140,269138,1
67140,56510,1
67140,5521,1
67140,18704,1
67140,128,1
67140,18496,1
67140,21933,1
67140,20548,1
67140,22,1
67140,21038,1
67140,20864,1
67140,18554,1
67140,366705,1
67140,20081,1
67140,54346,1
67140,68272,1
67140,294,1
67140,10,1
67140,18620,1
67140,104995,1
67140,367668,1
67140,18438,1
67140,22138,1
67140,73553,1
67140,58,1
67140,69774,1
67140,64,1
67140,38941,1
67140,278100,1
67140,84,1
67140,110665,1
67140,20149,1
67140,146427,1
67140,69435,1
67140,175837,1
67140,80065,1
67140,20488,1
67140,368991,1
67140,34408,1
67140,157727,1
67140,365855,1
67140,214236,1
67140,20665,1
28998,18346,1
28998,1095,1
28998,18364,1
28998,24940,1
28998,74248,1
28998,27302,1
301848,98755,1
92090,18362,13
92090,18370,11
92090,25137,3
92090,73449,2
92090,1095,1
92090,18364,1
92090,23,1
92090,18995,1
24712,269331,1
306529,1095,1
24716,18346,284
24716,1147,249
24716,2,203
24716,1095,139
24716,1,122
24716,18268,100
24716,146,86
24716,25499,70
24716,39000,63
24716,1040,56
24716,27502,55
24716,18364,53
24716,19984,46
24716,18391,45
24716,1092,40
24716,1752,39
24716,111,39
24716,18362,35
24716,366124,35
24716,25369,32
24716,1150,27
24716,307,25
24716,104828,24
24716,1109,24
24716,40944,23
24716,269331,23
24716,1707,23
24716,1757,23
24716,1149,21
24716,6218,20
24716,73449,20
24716,64866,19
24716,1751,18
24716,1112,17
24716,62926,16
24716,8,16
24716,1127,16
24716,4425,15
24716,221763,15
24716,18370,14
24716,56510,14
24716,61164,13
24716,5915,13
24716,209366,13
24716,366206,13
24716,113,12
24716,19334,11
24716,262197,11
24716,18710,10
24716,6,10
24716,186480,10
24716,367244,10
24716,21089,10
24716,1096,9
24716,1110,9
24716,101,9
24716,4419,8
24716,115,8
24716,4442,7
24716,15,7
24716,798,7
24716,84726,7
24716,18775,6
24716,6443,6
24716,1747,6
24716,1101,6
24716,72,6
24716,67338,6
24716,56758,6
24716,19970,6
24716,25699,6
24716,18687,6
24716,1117,5
24716,7,5
24716,1755,5
24716,1094,5
24716,1104,5
24716,1750,5
24716,25209,5
24716,24811,5
24716,72473,5
24716,351789,5
24716,366984,5
24716,6379,5
24716,76561,4
24716,5880,4
24716,29485,4
24716,9,4
24716,20548,4
24716,67831,4
24716,41150,4
24716,1641,4
24716,35448,4
24716,366494,4
24716,110334,4
24716,367246,4
24716,366422,4
24716,18600,4
24716,67277,4
24716,21421,4
24716,68395,4
24716,25363,4
24716,36,3
24716,1100,3
24716,20982,3
24716,5766,3
24716,18704,3
24716,28,3
24716,128,3
24716,21542,3
24716,18658,3
24716,22088,3
24716,109076,3
24716,84582,3
24716,20153,3
24716,366162,3
24716,4452,3
24716,34663,3
24716,367524,3
24716,51,3
24716,39349,3
24716,25798,3
24716,34082,3
24716,18371,3
24716,24940,3
24716,20270,3
24716,22138,3
24716,65422,3
24716,22018,3
24716,366218,3
24716,67632,3
24716,20696,3
24716,113988,3
24716,853,3
24716,27488,3
24716,86213,3
24716,69664,3
24716,21936,2
24716,18560,2
24716,225,2
24716,18496,2
24716,41550,2
24716,22,2
24716,28335,2
24716,12,2
24716,21038,2
24716,20864,2
24716,19076,2
24716,18529,2
24716,25349,2
24716,30347,2
24716,5527,2
24716,305386,2
24716,67264,2
24716,57766,2
24716,367459,2
24716,21,2
24716,20397,2
24716,33623,2
