stories_id,url,media_name,media_id,title,publish_date,snapshots_id,foci_id,timespans_id,inlink_count,outlink_count,foci,facebook_share_count
435712585,http://www.nytimes.com/interactive/2016/us/elections/primary-calendar-and-results.html?partner=rss&emc=rss,New York Times,1,2016 Delegate Count and Primary Results,2015-04-14 13:58:01,1879,,127285,316,0,"[{'name': 'Center Left', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 435712585, 'foci_id': 1182}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 435712585, 'foci_id': 1173}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 435712585, 'foci_id': 1172}]",43598
275103820,http://www.marcorubio.com/,marcorubio.com,131240,Marco Rubio,undateable,1879,,127285,216,0,[],72634
441618516,http://www.nytimes.com/2015/05/10/us/billionaire-lifts-marco-rubio-politically-and-personally.html?_r=1,New York Times,1,"Billionaire Lifts Marco Rubio, Politically and Personally",2015-05-10 08:00:00,1879,,127285,70,2,"[{'name': 'Center Left', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 441618516, 'foci_id': 1182}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 441618516, 'foci_id': 1173}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 441618516, 'foci_id': 1172}]",8893
412860725,https://www.govtrack.us/congress/members/marco_rubio/412491,govtrack.us,18438,"Marco Rubio, Senator for Florida - GovTrack.us",2015-12-18 06:31:00,1879,,127285,62,0,[],781
343094884,http://rss.nytimes.com/c/34625/f/642562/s/4628c44d/sc/7/l/0L0Snytimes0N0C20A150C0A50C10A0Cus0Cbillionaire0Elifts0Emarco0Erubio0Epolitically0Eand0Epersonally0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm,New York Times,1,"Billionaire Norman Braman Lifts Marco Rubio, Politically and Personally",2015-05-09 12:42:30,1879,,127285,57,2,"[{'name': 'Center Left', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 343094884, 'foci_id': 1182}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 343094884, 'foci_id': 1173}, {'name': 'russian oil', 'focal_set_name': 'Clinton Foundation', 'stories_id': 343094884, 'foci_id': 1170}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 343094884, 'foci_id': 1172}]",8893
16214793,http://tampabay.com/news/politics/legislature/records-show-marco-rubio-spent-thousands-with-gop-credit-card/1075692,Tampa Bay Times,22,GOP card used for personal expenses,2010-02-25 05:38:12,1879,,127285,50,0,"[{'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 16214793, 'foci_id': 1174}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 16214793, 'foci_id': 1173}, {'name': 'Center', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 16214793, 'foci_id': 1181}]",13171
150436612,http://www.rubio.senate.gov/public/,rubio.senate.gov,30082,"U.S. Senator for Florida, Marco Rubio",undateable,1879,,127285,51,0,[],1086
363219229,http://www.washingtonpost.com/politics/marco-rubios-compelling-family-story-embellishes-facts-documents-show/2011/10/20/gIQAaVHD1L_story.html,Washington Post,2,"Marco Rubio’s compelling family story embellishes facts, documents show",2011-10-20 08:00:00,1879,,127285,49,0,"[{'name': 'Center Left', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 363219229, 'foci_id': 1182}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 363219229, 'foci_id': 1173}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 363219229, 'foci_id': 1172}]",2863
471010291,http://rss.cnn.com/r/f75c61e404/0L0Scnn0Bcom0C20A160C0A50C260Cpolitics0Cmarco0Erubio0Egoing0Eto0Econvention0Edonald0Etrump0Cindex0Bhtml0Deref0Frss0Ilatest,CNN,1095,Marco Rubio says he's going to the GOP convention,2016-05-26 16:08:08,1879,,127285,39,0,"[{'name': 'Center Left', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 471010291, 'foci_id': 1182}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 471010291, 'foci_id': 1173}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 471010291, 'foci_id': 1172}]",2
442959025,http://www.nytimes.com/elections/results/florida,New York Times,1,Florida Primary Election Results,undateable,1879,,127285,41,0,"[{'name': 'Center Left', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 442959025, 'foci_id': 1182}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 442959025, 'foci_id': 1173}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 442959025, 'foci_id': 1172}]",4638
