stories_id,url,media_name,media_id,title,publish_date,snapshots_id,foci_id,timespans_id,inlink_count,outlink_count,foci,facebook_share_count
544000269,http://radaronline.com/celebrity-news/hillary-clinton-emails-wikileaks-reveals-staff-writes-tweets/,Radar Online,133,Faking It! Leaked Emails Prove Clinton Staffers Write Hillary’s Tweets,undateable,1879,,127285,2,2,"[{'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 544000269, 'foci_id': 1174}, {'name': 'Emails', 'focal_set_name': 'Emails', 'stories_id': 544000269, 'foci_id': 1171}]",271
481011257,http://radaronline.com/exclusives/2016/06/hillary-clinton-email-scandal-witness-invokes-fifth-amendment-deposition/,Radar Online,133,&#8216;Devastating Witness&#8217; Against Hillary Clinton Invokes Fifth Amendment 125 Times,2016-06-22 18:58:47,1879,,127285,2,2,"[{'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 481011257, 'foci_id': 1174}, {'name': 'Emails', 'focal_set_name': 'Emails', 'stories_id': 481011257, 'foci_id': 1171}]",454
527428666,http://radaronline.com/celebrity-news/hillary-clinton-email-scandal-goldman-sachs-colluded-campaign/,Radar Online,133,REVEALED: Hillary&#8217;s Campaign Team Plotted With Goldman Sachs To Silence Press!,2016-10-13 14:58:42,1879,,127285,2,4,"[{'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 527428666, 'foci_id': 1174}, {'name': 'Emails', 'focal_set_name': 'Emails', 'stories_id': 527428666, 'foci_id': 1171}]",169
518777974,http://radaronline.com/photos/hillary-clinton-debate-lies-candidate-fabricates-facts/,Radar Online,133,Hillary&#8217;s Lies EXPOSED! Clinton&#8217;s Top 5 Debate Whoppers,2016-09-27 12:30:59,1879,,127285,5,1,"[{'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 518777974, 'foci_id': 1174}]",128
540608297,http://radaronline.com/photos/hillary-clinton-health-troubles-email-leak-details/,Radar Online,133,Leaked Emails Detail Hillary Clinton's Desperate Health Crisis Cover-Ups,undateable,1879,,127285,5,0,"[{'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 540608297, 'foci_id': 1174}, {'name': 'Emails', 'focal_set_name': 'Emails', 'stories_id': 540608297, 'foci_id': 1171}]",84
495874344,http://radaronline.com/photos/hillary-clinton-lies-most-infamous-scandals/photo/1325410/,Radar Online,133,Crooked Hillary&#8217;s Lies EXPOSED! Clinton&#8217;s 13 Most Infamous Scandals — So Far,2016-08-01 06:45:44,1879,,127285,1,3,"[{'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 495874344, 'foci_id': 1174}]",89
587585780,http://beforeitsnews.com/alternative/2016/10/hillary-clinton-child-rape-bombshell-dwarfs-wikileaks-3425220.html,beforeitsnews.com,29363,Hillary Clinton Child Rape Bombshell Dwarfs Wikileaks! | Alternative,2016-10-14 06:52:00,1879,,127285,3,10,"[{'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 587585780, 'foci_id': 1174}, {'name': 'Emails', 'focal_set_name': 'Emails', 'stories_id': 587585780, 'foci_id': 1171}]",805
621107734,http://www.nationalenquirer.com/celebrity/hillary-clinton-lesbian-sex-claims-vince-foster-fixer/,nationalenquirer.com,367446,Hillary Fixer Breaks Ranks: I Arranged Sex Trysts For Her — With Men & WOMEN,undateable,1879,,127285,22,6,"[{'name': 'Emails', 'focal_set_name': 'Emails', 'stories_id': 621107734, 'foci_id': 1171}]",64683
554621940,https://www.youtube.com/watch?v=sa3FEmGrc28&feature=youtu.be,YouTube,18362,HILLARY Clinton 'Took Me Through Hell' Says 12yr Old RAPE Victim!,2016-03-15 08:00:00,1879,,127285,17,0,[],886
549741056,https://www.youtube.com/watch?v=PW2kohoBbCM&feature=youtu.be,YouTube,18362,✡ Roman Catholic Cathy OBrien - Freemason Bill & Witch Hillary Clinton - Cocaine & Mind Control Rape,2015-11-03 07:00:00,1879,,127285,7,0,[],603
