stories_id,url,media_name,media_id,title,publish_date,snapshots_id,foci_id,timespans_id,inlink_count,outlink_count,foci,facebook_share_count
485056128,http://www.reuters.com/article/us-usa-election-poll-idUSKCN0Y21TN,Reuters,4442,"Exclusive: Trump surges in support, almost even with Clinton in national U.S. poll",2016-05-11 16:26:56,1879,,127285,50,1,"[{'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 485056128, 'foci_id': 1174}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 485056128, 'foci_id': 1173}, {'name': 'Center', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 485056128, 'foci_id': 1181}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 485056128, 'foci_id': 1172}]",24671
536835118,http://feeds.reuters.com/~r/reuters/topNews/~3/_i7KSBD11G0/us-usa-election-documents-idUSKBN12Y2WY,Reuters,4442,FBI examining fake documents targeting Clinton campaign: sources,2016-11-03 19:42:46,1879,,127285,14,1,"[{'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 536835118, 'foci_id': 1174}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 536835118, 'foci_id': 1173}, {'name': 'Center', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 536835118, 'foci_id': 1181}, {'name': 'Emails', 'focal_set_name': 'Emails', 'stories_id': 536835118, 'foci_id': 1171}, {'name': 'russian oil', 'focal_set_name': 'Clinton Foundation', 'stories_id': 536835118, 'foci_id': 1170}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 536835118, 'foci_id': 1172}, {'name': 'Clinton Foundation', 'focal_set_name': 'Clinton Foundation', 'stories_id': 536835118, 'foci_id': 1168}]",21535
485816282,http://uk.reuters.com/article/us-usa-election-trump-judge-idUKKCN0YK0PA,Reuters,4442,Judge criticized by Trump unseals documents in Trump University case,2016-05-30 09:39:07,1879,,127285,14,1,"[{'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 485816282, 'foci_id': 1174}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 485816282, 'foci_id': 1173}, {'name': 'Center', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 485816282, 'foci_id': 1181}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 485816282, 'foci_id': 1172}]",139
621328061,https://www.infowars.com/gingrich-establishment-scared-of-trump-because-he-didnt-belong-to-secret-society/,InfoWars,18515,"Gingrich: Establishment Scared of Trump Because He ""Didn't Belong to the Secret Society"" » Alex Jones' Infowars: There's a war on for your mind!",undateable,1879,,127285,9,1,[],11
505855903,http://feeds.reuters.com/~r/reuters/topNews/~3/5iEaIH7UfQ4/us-usa-election-poll-idUSKCN11128U,Reuters,4442,Clinton leads Trump by 5 points in Reuters/Ipsos poll,2016-08-26 15:33:58,1879,,127285,10,1,"[{'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 505855903, 'foci_id': 1174}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 505855903, 'foci_id': 1173}, {'name': 'Center', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 505855903, 'foci_id': 1181}, {'name': 'Emails', 'focal_set_name': 'Emails', 'stories_id': 505855903, 'foci_id': 1171}, {'name': 'russian oil', 'focal_set_name': 'Clinton Foundation', 'stories_id': 505855903, 'foci_id': 1170}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 505855903, 'foci_id': 1172}, {'name': 'Clinton Foundation', 'focal_set_name': 'Clinton Foundation', 'stories_id': 505855903, 'foci_id': 1168}]",1348
505785402,http://feeds.reuters.com/~r/reuters/topNews/~3/Z6EJKcq5NmU/us-usa-election-idUSKCN1111YS,Reuters,4442,Clinton attacks Trump's outreach to black voters in new ad,2016-08-26 13:11:11,1879,,127285,9,1,"[{'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 505785402, 'foci_id': 1174}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 505785402, 'foci_id': 1173}, {'name': 'Center', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 505785402, 'foci_id': 1181}, {'name': 'Emails', 'focal_set_name': 'Emails', 'stories_id': 505785402, 'foci_id': 1171}, {'name': 'russian oil', 'focal_set_name': 'Clinton Foundation', 'stories_id': 505785402, 'foci_id': 1170}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 505785402, 'foci_id': 1172}, {'name': 'Clinton Foundation', 'focal_set_name': 'Clinton Foundation', 'stories_id': 505785402, 'foci_id': 1168}]",365
499725160,http://www.reuters.com/article/us-clinton-emails-cnn-idUSKCN0XW2B7,Reuters,4442,FBI likely to interview Clinton soon in emails probe: CNN,2016-05-05 21:04:07,1879,,127285,6,1,"[{'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 499725160, 'foci_id': 1174}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 499725160, 'foci_id': 1173}, {'name': 'Center', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 499725160, 'foci_id': 1181}, {'name': 'Emails', 'focal_set_name': 'Emails', 'stories_id': 499725160, 'foci_id': 1171}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 499725160, 'foci_id': 1172}]",6988
470365811,http://feeds.reuters.com/~r/reuters/topNews/~3/P3iBaJSLaBg/us-usa-election-trump-protests-idUSKCN0YG0QE,Reuters,4442,"Protesters throw rocks, bottles at police outside Trump rally in New Mexico",2016-05-25 03:35:48,1879,,127285,6,1,"[{'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 470365811, 'foci_id': 1174}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 470365811, 'foci_id': 1173}, {'name': 'Center', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 470365811, 'foci_id': 1181}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 470365811, 'foci_id': 1172}]",1929
548000009,http://www.infowars.com/trump-clinton-killed-hundreds-of-thousands-of-people/,InfoWars,18515,"Trump: Clinton ""killed hundreds of thousands of people” » Alex Jones' Infowars: There's a war on for your mind!",undateable,1879,,127285,5,2,"[{'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 548000009, 'foci_id': 1174}]",6595
364471319,http://feeds.reuters.com/~r/reuters/topNews/~3/dYRzyklnnc4/story01.htm,Reuters,4442,"Trump tops CNN poll of 2016 Republicans, says he leads 'movement'",2015-07-26 12:03:30,1879,,127285,4,1,"[{'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 364471319, 'foci_id': 1174}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 364471319, 'foci_id': 1173}, {'name': 'Center', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 364471319, 'foci_id': 1181}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 364471319, 'foci_id': 1172}]",1719
