stories_id,url,media_name,media_id,title,publish_date,snapshots_id,foci_id,timespans_id,inlink_count,outlink_count,foci,facebook_share_count
347719198,http://www.ibtimes.com/clinton-foundation-donors-got-weapons-deals-hillary-clintons-state-department-1934187,IBTimes,41550,Clinton Foundation Donors Got Weapons Deals From Hillary Clinton's State Department,2015-05-26 08:44:30,1879,,127285,370,8,"[{'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 347719198, 'foci_id': 1174}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 347719198, 'foci_id': 1173}, {'name': 'Center', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 347719198, 'foci_id': 1181}, {'name': 'russian oil', 'focal_set_name': 'Clinton Foundation', 'stories_id': 347719198, 'foci_id': 1170}, {'name': 'Clinton Foundation', 'focal_set_name': 'Clinton Foundation', 'stories_id': 347719198, 'foci_id': 1168}]",207437
442086983,https://theintercept.com/2016/02/22/saudi-christmas-present/,The Intercept,269138,Emails Show Hillary Clinton Aides Celebrating F-15 Sales to Saudi Arabia: âGood Newsâ,2016-02-22 07:00:00,1879,,127285,63,4,"[{'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 442086983, 'foci_id': 1174}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 442086983, 'foci_id': 1173}, {'name': 'Center', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 442086983, 'foci_id': 1181}, {'name': 'Emails', 'focal_set_name': 'Emails', 'stories_id': 442086983, 'foci_id': 1171}, {'name': 'russian oil', 'focal_set_name': 'Clinton Foundation', 'stories_id': 442086983, 'foci_id': 1170}, {'name': 'Clinton Foundation', 'focal_set_name': 'Clinton Foundation', 'stories_id': 442086983, 'foci_id': 1168}]",17367
334024686,http://www.ibtimes.com/colombian-oil-money-flowed-clintons-state-department-took-no-action-prevent-labor-1874464,IBTimes,41550,"As Colombian Oil Money Flowed To Clintons, State Department Took No Action To Prevent Labor Violations",2015-04-08 16:09:24,1879,,127285,59,0,"[{'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 334024686, 'foci_id': 1174}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 334024686, 'foci_id': 1173}, {'name': 'Center', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 334024686, 'foci_id': 1181}, {'name': 'russian oil', 'focal_set_name': 'Clinton Foundation', 'stories_id': 334024686, 'foci_id': 1170}, {'name': 'Clinton Foundation', 'focal_set_name': 'Clinton Foundation', 'stories_id': 334024686, 'foci_id': 1168}]",29225
512712272,http://abcnews.go.com/Blotter/Story?id=4218509,ABC News,39000,Clinton Remained Silent As Wal-Mart Fought Unions,2008-01-31 07:00:00,1879,,127285,48,1,"[{'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 512712272, 'foci_id': 1174}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 512712272, 'foci_id': 1173}, {'name': 'Center', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 512712272, 'foci_id': 1181}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 512712272, 'foci_id': 1172}]",16024
387471416,http://www.rollingstone.com/politics/news/hillary-clintons-take-on-banks-wont-hold-up-20151014,Rolling Stone,5521,Hillary Clinton's Take on Banks Won't Hold Up,2015-10-14 16:48:00,1879,,127285,23,8,"[{'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 387471416, 'foci_id': 1173}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 387471416, 'foci_id': 1172}]",13028
492463130,https://en.wikipedia.org/wiki/2003_invasion_of_Iraq#/media/File:UStanks_baghdad_2003.JPEG,Wikipedia,18370,"2003 invasion of Iraq - Wikipedia, the free encyclopedia",undateable,1879,,127285,15,17,"[{'name': 'Center Right', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 492463130, 'foci_id': 1183}, {'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 492463130, 'foci_id': 1174}, {'name': 'Emails', 'focal_set_name': 'Emails', 'stories_id': 492463130, 'foci_id': 1171}, {'name': 'russian oil', 'focal_set_name': 'Clinton Foundation', 'stories_id': 492463130, 'foci_id': 1170}]",587
427621199,http://mondoweiss.net/2016/02/weapons-manufacturers-support-hillary-clinton-more-than-any-other-presidential-candidate/,mondoweiss.net,64600,Weapons manufacturers support Hillary Clinton more than any other presidential candidate,2016-02-22 09:24:22,1879,,127285,9,0,[],9590
588786463,http://www.salon.com/2016/02/28/the_case_against_hillary_clinton_this_is_the_disaster_democrats_must_avoid/?utm_source=akdart,Salon,1757,The case against Hillary Clinton: This is the disaster Democrats must avoid,2016-02-28 07:00:00,1879,,127285,5,0,"[{'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 588786463, 'foci_id': 1173}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 588786463, 'foci_id': 1172}]",0
499135132,http://observer.com/2016/04/bill-clintons-racist-defense-of-the-super-predator-myth/,Observer,28335,Bill Clinton’s Racist Defense of the ‘Super-Predator’ Myth,2016-04-08 14:00:22,1879,,127285,4,7,"[{'name': 'Center Right', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 499135132, 'foci_id': 1183}, {'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 499135132, 'foci_id': 1174}]",2176
492990583,https://en.wikipedia.org/wiki/2011_military_intervention_in_Libya#Forces_committed,Wikipedia,18370,"2011 military intervention in Libya - Wikipedia, the free encyclopedia",undateable,1879,,127285,3,17,"[{'name': 'Center Right', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 492990583, 'foci_id': 1183}, {'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 492990583, 'foci_id': 1174}]",343
540565867,https://www.youtube.com/watch?v=UZmotHae-eI,YouTube,18362,SJW Nearly Explodes over Trump Winning Election,undateable,1879,,127285,2,0,[],1458
540582519,https://en.wikipedia.org/wiki/Market_socialism,Wikipedia,18370,Market socialism - Wikipedia,undateable,1879,,127285,2,4,"[{'name': 'Center Right', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 540582519, 'foci_id': 1183}, {'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 540582519, 'foci_id': 1174}, {'name': 'russian oil', 'focal_set_name': 'Clinton Foundation', 'stories_id': 540582519, 'foci_id': 1170}]",393
520801167,http://feeds.foxnews.com/~r/foxnews/politics/~3/0uKZdf6vceY/while-hrc-knocks-bernie-kids-as-basement-dwellers-chelsea-lives-in-10m-apartment.html,FOX News,1092,While HRC knocks Bernie kids as 'basement dwellers' -- Chelsea lives in $10M apartment,2016-10-02 14:04:00,1879,,127285,1,1,"[{'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 520801167, 'foci_id': 1174}, {'name': 'russian oil', 'focal_set_name': 'Clinton Foundation', 'stories_id': 520801167, 'foci_id': 1170}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 520801167, 'foci_id': 1172}, {'name': 'Clinton Foundation', 'focal_set_name': 'Clinton Foundation', 'stories_id': 520801167, 'foci_id': 1168}]",2038
