stories_id,url,media_name,media_id,title,publish_date,snapshots_id,foci_id,timespans_id,inlink_count,outlink_count,foci,facebook_share_count
418749227,https://www.washingtonpost.com/archive/politics/2001/09/18/northern-new-jersey-draws-probers-eyes/40f82ea4-e015-4d6e-a87e-93aa433fafdc/,Washington Post,2,Northern New Jersey Draws Probers' Eyes,undateable,1879,,127285,164,0,"[{'name': 'Center Left', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 418749227, 'foci_id': 1182}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 418749227, 'foci_id': 1173}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 418749227, 'foci_id': 1172}]",6320
465492699,http://www.foxnews.com/us/2016/05/13/flight-logs-show-bill-clinton-flew-on-sex-offenders-jet-much-more-than-previously-known.html,FOX News,1092,JET PURV-EYED FOR BILL Clinton a frequent flyer on sex-offender's plane,2016-05-13 13:37:38,1879,,127285,140,0,"[{'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 465492699, 'foci_id': 1174}, {'name': 'Emails', 'focal_set_name': 'Emails', 'stories_id': 465492699, 'foci_id': 1171}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 465492699, 'foci_id': 1172}]",235172
540516378,http://lawnewz.com/high-profile/federal-judge-orders-hearing-in-donald-trump-rape-lawsuit-case/,lawnewz.com,277863,Federal Judge Orders Hearing in Donald Trump Rape Lawsuit,undateable,1879,,127285,52,1,"[{'name': 'Center Right', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 540516378, 'foci_id': 1183}, {'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 540516378, 'foci_id': 1174}]",45110
499578737,http://heatst.com/politics/still-no-clues-in-murder-of-dncs-seth-rich-as-conspiracy-theories-thicken/,HeatStreet,285605,"Still No Clues in Murder of DNC’s Seth Rich, As Conspiracy Theories Thicken",undateable,1879,,127285,46,0,"[{'name': 'Center Right', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 499578737, 'foci_id': 1183}, {'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 499578737, 'foci_id': 1174}, {'name': 'Emails', 'focal_set_name': 'Emails', 'stories_id': 499578737, 'foci_id': 1171}]",26474
490073598,http://www.washingtontimes.com/news/2015/may/17/hillary-clinton-gmo-support-monsanto-ties-spark-ba/,Washington Times,101,"Hillary Clinton’s GMO support, Monsanto ties spark backlash in Iowa",2016-07-15 08:00:00,1879,,127285,43,0,"[{'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 490073598, 'foci_id': 1174}, {'name': 'russian oil', 'focal_set_name': 'Clinton Foundation', 'stories_id': 490073598, 'foci_id': 1170}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 490073598, 'foci_id': 1172}, {'name': 'Clinton Foundation', 'focal_set_name': 'Clinton Foundation', 'stories_id': 490073598, 'foci_id': 1168}]",42053
608029236,https://www.thecanary.co/2016/07/29/paris-strikes-astonishing-partnership-secret-isis-sponsor-ties-hillary-clinton/,thecanary.co,303643,Paris strikes astonishing partnership with secret Isis sponsor tied to Hillary Clinton [EXCLUSIVE] | The Canary,2016-07-29 12:26:52,1879,,127285,37,2,"[{'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 608029236, 'foci_id': 1174}, {'name': 'Emails', 'focal_set_name': 'Emails', 'stories_id': 608029236, 'foci_id': 1171}, {'name': 'russian oil', 'focal_set_name': 'Clinton Foundation', 'stories_id': 608029236, 'foci_id': 1170}, {'name': 'Clinton Foundation', 'focal_set_name': 'Clinton Foundation', 'stories_id': 608029236, 'foci_id': 1168}]",0
540546674,http://www.nytimes.com/2016/10/31/us/politics/justice-department-warrant-clinton-abedin-fbi.html?_r=0,New York Times,1,Justice Department Obtains Warrant to Review Clinton Aide’s Emails,2016-10-31 08:00:00,1879,,127285,34,0,"[{'name': 'Center Left', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 540546674, 'foci_id': 1182}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 540546674, 'foci_id': 1173}, {'name': 'Emails', 'focal_set_name': 'Emails', 'stories_id': 540546674, 'foci_id': 1171}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 540546674, 'foci_id': 1172}]",11072
363543297,http://www.dailymail.co.uk/news/article-3159344/There-s-no-jail-big-midget-Mexico-s-billion-dollar-drugs-lord-gloats-Twitter-escaping-prison-shower-block-tunnel.html#ixzz3fnodXrKp,Daily Mail,1747,Mexico’s billion-dollar drugs lord gloats on Twitter,2015-06-18 08:00:00,1879,,127285,33,1,"[{'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 363543297, 'foci_id': 1174}, {'name': 'russian oil', 'focal_set_name': 'Clinton Foundation', 'stories_id': 363543297, 'foci_id': 1170}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 363543297, 'foci_id': 1172}]",41865
478512063,http://www.foreignpolicyjournal.com/2016/01/06/new-hillary-emails-reveal-true-motive-for-libya-intervention/,foreignpolicyjournal.com,86890,Hillary Emails Reveal True Motive for Libya Intervention | Foreign Policy Journal,2016-01-06 06:00:50,1879,,127285,29,5,"[{'name': 'Emails', 'focal_set_name': 'Emails', 'stories_id': 478512063, 'foci_id': 1171}]",167499
497363654,http://www.thegatewaypundit.com/2016/08/breaking-lead-attorney-dnc-fraud-case-found-dead-1-week-serving-dnc-papers/,GatewayPundit,25444,ANOTHER MYSTERIOUS DEATH=> Activist and Sanders Supporter Who Served Papers to DNC on Fraud Case Found Dead,2016-08-04 23:26:42,1879,,127285,26,3,"[{'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 497363654, 'foci_id': 1174}]",69644
