stories_id,url,media_name,media_id,title,publish_date,snapshots_id,foci_id,timespans_id,inlink_count,outlink_count,foci,facebook_share_count
520269664,http://www.nytimes.com/2016/10/01/us/politics/donald-trump-interview-bill-hillary-clinton.html?partner=rss&emc=rss,New York Times,1,Donald Trump Opens New Line of Attack on Hillary Clinton: Her Marriage,2016-09-30 20:53:21,1879,,127285,106,0,"[{'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left', 'foci_id': 1182, 'stories_id': 520269664}, {'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half', 'foci_id': 1173, 'stories_id': 520269664}, {'focal_set_name': 'Clinton Foundation', 'name': 'russian oil', 'foci_id': 1170, 'stories_id': 520269664}, {'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 520269664}, {'focal_set_name': 'Clinton Foundation', 'name': 'Clinton Foundation', 'foci_id': 1168, 'stories_id': 520269664}]",43031
540463751,http://news3lv.com/news/local/exclusive-one-on-one-with-presidential-candidate-donald-trump,news3lv.com,266264,EXCLUSIVE | One-on-one with presidential candidate Donald Trump,undateable,1879,,127285,81,0,[],702
523176712,http://www.politico.com/story/2016/10/mike-pence-donald-trump-comments-women-229303,Politico,18268,Pence ducked reporters when Trump video was published,2016-10-07 17:36:17,1879,,127285,6,0,"[{'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left', 'foci_id': 1182, 'stories_id': 523176712}, {'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half', 'foci_id': 1173, 'stories_id': 523176712}, {'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 523176712}]",4390
540624612,https://www.youtube.com/watch?v=FFneEUeZQVY&feature=youtu.be&t=6m59s,YouTube,18362,"Arianne Zuker: 2005 ""SoapTalk"" Part 1",2009-08-07 08:00:00,1879,,127285,7,0,[],505
496116813,http://www.nytimes.com/2015/04/24/us/cash-flowed-to-clinton-foundation-as-russians-pressed-for-control-of-uranium-company.html?_r=0,New York Times,1,Cash Flowed to Clinton Foundation Amid Russian Uranium Deal,2015-04-24 08:00:00,1879,,127285,399,0,"[{'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left', 'foci_id': 1182, 'stories_id': 496116813}, {'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half', 'foci_id': 1173, 'stories_id': 496116813}, {'focal_set_name': 'Clinton Foundation', 'name': 'russian oil', 'foci_id': 1170, 'stories_id': 496116813}, {'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 496116813}, {'focal_set_name': 'Clinton Foundation', 'name': 'Clinton Foundation', 'foci_id': 1168, 'stories_id': 496116813}]",487276
347719198,http://www.ibtimes.com/clinton-foundation-donors-got-weapons-deals-hillary-clintons-state-department-1934187,IBTimes,41550,Clinton Foundation Donors Got Weapons Deals From Hillary Clinton's State Department,2015-05-26 08:44:30,1879,,127285,370,8,"[{'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half', 'foci_id': 1174, 'stories_id': 347719198}, {'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half', 'foci_id': 1173, 'stories_id': 347719198}, {'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center', 'foci_id': 1181, 'stories_id': 347719198}, {'focal_set_name': 'Clinton Foundation', 'name': 'russian oil', 'foci_id': 1170, 'stories_id': 347719198}, {'focal_set_name': 'Clinton Foundation', 'name': 'Clinton Foundation', 'foci_id': 1168, 'stories_id': 347719198}]",207437
441842421,http://edition.cnn.com/2016/02/05/politics/hillary-clinton-bill-clinton-paid-speeches/,CNN,1095,"$153 million in Bill and Hillary Clinton speaking fees, documented - CNNPolitics.com",2016-02-05 07:00:00,1879,,127285,159,0,"[{'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left', 'foci_id': 1182, 'stories_id': 441842421}, {'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half', 'foci_id': 1173, 'stories_id': 441842421}, {'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 441842421}]",55462
506373679,http://www.politico.com/story/2015/05/hillary-clinton-iraq-war-vote-mistake-iowa-118109#ixzz3acRgDO8V,Politico,18268,Hillary Clinton says her Iraq war vote was a 'mistake',2016-08-28 07:51:00,1879,,127285,200,1,"[{'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left', 'foci_id': 1182, 'stories_id': 506373679}, {'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half', 'foci_id': 1173, 'stories_id': 506373679}, {'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 506373679}]",0
512491976,http://www.bloomberg.com/politics/articles/2015-04-29/clinton-foundation-failed-to-disclose-1-100-foreign-donations,Bloomberg,40944,"Clinton Foundation Failed to Disclose 1,100 Foreign Donations",2015-04-29 08:00:00,1879,,127285,87,2,"[{'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half', 'foci_id': 1174, 'stories_id': 512491976}, {'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half', 'foci_id': 1173, 'stories_id': 512491976}, {'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center', 'foci_id': 1181, 'stories_id': 512491976}, {'focal_set_name': 'Clinton Foundation', 'name': 'russian oil', 'foci_id': 1170, 'stories_id': 512491976}, {'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 512491976}, {'focal_set_name': 'Clinton Foundation', 'name': 'Clinton Foundation', 'foci_id': 1168, 'stories_id': 512491976}]",6
380003590,http://www.cbsnews.com/news/hillary-clinton-u-s-should-take-65000-syrian-refugees/,cbs news,1752,"Hillary Clinton: U.S. should take 65,000 Syrian refugees",2015-09-20 14:38:04,1879,,127285,118,0,"[{'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left', 'foci_id': 1182, 'stories_id': 380003590}, {'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half', 'foci_id': 1173, 'stories_id': 380003590}, {'focal_set_name': 'Emails', 'name': 'Emails', 'foci_id': 1171, 'stories_id': 380003590}, {'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 380003590}]",32363
484987026,https://www.clintonfoundation.org/contributors?category=%2410%2C000%2C001+to+%2425%2C000%2C000,clintonfoundation.org,27131,Contributor and Grantor Information,2015-11-17 07:50:30,1879,,127285,42,0,"[{'focal_set_name': 'Clinton Foundation', 'name': 'russian oil', 'foci_id': 1170, 'stories_id': 484987026}, {'focal_set_name': 'Clinton Foundation', 'name': 'Clinton Foundation', 'foci_id': 1168, 'stories_id': 484987026}]",3103
484340268,http://www.politifact.com/punditfact/statements/2015/apr/26/peter-schweizer/fact-checking-clinton-cash-author-claim-about-bill/,Politifact,18391,None,2015-04-26 14:42:00,1879,,127285,41,7,"[{'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half', 'foci_id': 1173, 'stories_id': 484340268}, {'focal_set_name': 'Clinton Foundation', 'name': 'russian oil', 'foci_id': 1170, 'stories_id': 484340268}, {'focal_set_name': 'Clinton Foundation', 'name': 'Clinton Foundation', 'foci_id': 1168, 'stories_id': 484340268}]",4058
512618784,http://abcnews.go.com/Politics/bill-clinton-cashed-hillary-secretary-state/story?id=30522705&singlePage=true,ABC News,39000,Bill Clinton Cashed In When Hillary Became Secretary of State,2015-04-25 08:00:00,1879,,127285,52,0,"[{'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half', 'foci_id': 1174, 'stories_id': 512618784}, {'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half', 'foci_id': 1173, 'stories_id': 512618784}, {'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center', 'foci_id': 1181, 'stories_id': 512618784}, {'focal_set_name': 'Emails', 'name': 'Emails', 'foci_id': 1171, 'stories_id': 512618784}, {'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 512618784}]",5654
441727435,https://www.hillaryclinton.com/p/files/returns/WJC_HRC_2014_Form_1040.pdf,hillaryclinton.com,73449,https://www.hillaryclinton.com/p/files/returns/WJC_HRC_2014_Form_1040.pdf,2016-02-29 08:59:09,1879,,127285,28,0,"[{'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half', 'foci_id': 1173, 'stories_id': 441727435}]",2051
444386672,http://www.politico.com/story/2015/10/hillary-clinton-email-server-hacked-china-south-korea-germany-214546,Politico,18268,"Clinton server faced hacking from China, South Korea and Germany",2016-04-11 14:44:00,1879,,127285,28,0,"[{'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left', 'foci_id': 1182, 'stories_id': 444386672}, {'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half', 'foci_id': 1173, 'stories_id': 444386672}, {'focal_set_name': 'Emails', 'name': 'Emails', 'foci_id': 1171, 'stories_id': 444386672}, {'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 444386672}]",237
620909969,https://www.cbsnews.com/news/report-fbi-pulls-deleted-emails-from-hillary-clintons-server/,cbs news,1752,Report: FBI pulls deleted emails from Hillary Clinton's server,undateable,1879,,127285,16,1,"[{'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left', 'foci_id': 1182, 'stories_id': 620909969}, {'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half', 'foci_id': 1173, 'stories_id': 620909969}, {'focal_set_name': 'Emails', 'name': 'Emails', 'foci_id': 1171, 'stories_id': 620909969}, {'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 620909969}]",0
492429778,http://www.judicialwatch.org/press-room/press-releases/state-department-belatedly-releases-new-clinton-benghazi-documents/,Judicial Watch,6270,State Department Belatedly Releases New Clinton Benghazi Documents - Judicial Watch,undateable,1879,,127285,14,3,"[{'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half', 'foci_id': 1174, 'stories_id': 492429778}, {'focal_set_name': 'Emails', 'name': 'Emails', 'foci_id': 1171, 'stories_id': 492429778}, {'focal_set_name': 'Clinton Foundation', 'name': 'russian oil', 'foci_id': 1170, 'stories_id': 492429778}, {'focal_set_name': 'Clinton Foundation', 'name': 'Clinton Foundation', 'foci_id': 1168, 'stories_id': 492429778}]",17264
