stories_id,url,media_name,media_id,title,publish_date,snapshots_id,foci_id,timespans_id,inlink_count,outlink_count,foci,facebook_share_count
345568570,http://rss.nytimes.com/c/34625/f/642562/s/466d853d/sc/7/l/0L0Snytimes0N0C20A150C0A50C190Cus0Cpolitics0Cclinton0Efriends0Elibya0Erole0Eblurs0Elines0Eof0Epolitics0Eand0Ebusiness0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm,New York Times,1,Clinton Friend’s Libya Role Blurs Lines of Politics and Business,2015-05-18 16:15:28,1879,,127285,91,2,"[{'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left', 'foci_id': 1182, 'stories_id': 345568570}, {'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half', 'foci_id': 1173, 'stories_id': 345568570}, {'focal_set_name': 'Emails', 'name': 'Emails', 'foci_id': 1171, 'stories_id': 345568570}, {'focal_set_name': 'Clinton Foundation', 'name': 'russian oil', 'foci_id': 1170, 'stories_id': 345568570}, {'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 345568570}, {'focal_set_name': 'Clinton Foundation', 'name': 'Clinton Foundation', 'foci_id': 1168, 'stories_id': 345568570}]",5483
497868512,https://berniesanders.com/wp-content/uploads/2016/04/Bernie-2016-Letter-to-DNC-1.pdf,berniesanders.com,221763,https://berniesanders.com/wp-content/uploads/2016/04/Bernie-2016-Letter-to-DNC-1.pdf,2013-08-23 08:00:00,1879,,127285,39,0,"[{'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half', 'foci_id': 1173, 'stories_id': 497868512}]",2503
484331075,https://berniesanders.com/press-release/clinton-dnc-joint-fundraising-raises-serious-campaign-finance-concerns/,berniesanders.com,221763,Clinton-DNC Joint Fundraising Raises Serious Campaign Finance Concerns,undateable,1879,,127285,22,0,"[{'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half', 'foci_id': 1173, 'stories_id': 484331075}]",9319
431048148,http://abcnews.go.com/Politics/katy-perry-elton-john-perform-hillary-clinton-fundraiser/story?id=37359679,ABC News,39000,"Katy Perry, Elton John Perform at Hillary Clinton Fundraiser",2016-03-03 00:28:17,1879,,127285,21,0,"[{'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half', 'foci_id': 1174, 'stories_id': 431048148}, {'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half', 'foci_id': 1173, 'stories_id': 431048148}, {'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center', 'foci_id': 1181, 'stories_id': 431048148}, {'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 431048148}]",3351
484323099,http://www.nbcnews.com/feature/meet-the-press-24-7/meet-press-april-17-2016-n557266,NBC News,25499,"Meet the Press - April 17, 2016",2016-04-17 08:00:00,1879,,127285,14,0,"[{'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left', 'foci_id': 1182, 'stories_id': 484323099}, {'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half', 'foci_id': 1173, 'stories_id': 484323099}, {'focal_set_name': 'Clinton Foundation', 'name': 'russian oil', 'foci_id': 1170, 'stories_id': 484323099}, {'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 484323099}]",44
484321760,http://articles.philly.com/2015-08-29/news/66006747_1_o-malley-democratic-party-party-leaders,Philadelphia Inquirer,18,"Clinton, Democratic opponents pitch their party leaders",2015-08-29 08:00:00,1879,,127285,9,0,"[{'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half', 'foci_id': 1173, 'stories_id': 484321760}]",25
484323768,http://www.ktnv.com/news/political/boosted-by-bernie-sanders-email-congressional-candidate-lucy-flores-raises-428000-in-april,ktnv.com,278227,"Boosted by Bernie Sanders email, congressional candidate Lucy Flores raises $428,000 in April",2016-04-21 12:40:35,1879,,127285,7,0,"[{'focal_set_name': 'Emails', 'name': 'Emails', 'foci_id': 1171, 'stories_id': 484323768}]",5845
373735260,http://rss.nytimes.com/c/34625/f/642562/s/4966d3b9/sc/7/l/0L0Snytimes0N0C20A150C0A80C30A0Cus0Cpolitics0Cowned0Eby0Eunion0Eamalgamated0Ebank0Egives0Elift0Eto0Ethe0Eleft0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm,New York Times,1,"Owned by Union, Amalgamated Bank Gives Lift to the Left",2015-08-29 12:31:39,1879,,127285,3,1,"[{'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left', 'foci_id': 1182, 'stories_id': 373735260}, {'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half', 'foci_id': 1173, 'stories_id': 373735260}, {'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 373735260}]",3229
330418303,http://feeds.gawker.com/~r/gawker/full/~3/gop34jWWM_Y/leaked-private-emails-reveal-ex-clinton-aides-secret-sp-1694112647,Gawker,5880,Leaked Private Emails Reveal Ex-Clinton Aide's Secret Spy Network,2015-03-27 15:49:00,1879,,127285,20,0,"[{'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left', 'foci_id': 1182, 'stories_id': 330418303}, {'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half', 'foci_id': 1173, 'stories_id': 330418303}, {'focal_set_name': 'Emails', 'name': 'Emails', 'foci_id': 1171, 'stories_id': 330418303}, {'focal_set_name': 'Clinton Foundation', 'name': 'russian oil', 'foci_id': 1170, 'stories_id': 330418303}]",2
444460025,https://mobile.twitter.com/nytpolitics,Twitter,18346,NYT Politics (@nytpolitics) on Twitter,undateable,1879,,127285,249,0,[],24
498118319,https://guccifer2.wordpress.com/2016/06/21/hillary-clinton/,guccifer2.wordpress.com,288455,Dossier on Hillary Clinton from DNC,2016-06-21 10:01:10,1879,,127285,63,0,"[{'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half', 'foci_id': 1174, 'stories_id': 498118319}]",13361
498708298,https://github.com/wsjdata/clinton-email-cruncher/blob/master/HRCEMAIL_names.csv,github.com,18779,clinton-email-cruncher/HRCEMAIL_names.csv at master · wsjdata/clinton-email-cruncher · GitHub,undateable,1879,,127285,2,0,"[{'focal_set_name': 'Emails', 'name': 'Emails', 'foci_id': 1171, 'stories_id': 498708298}]",23
438433040,http://www.politico.com/story/2016/03/hillary-clinton-george-clooney-fundraiser-221207,Politico,18268,Clinton asks for $353K to sit with the Clooneys,2016-03-24 15:28:24,1879,,127285,66,1,"[{'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left', 'foci_id': 1182, 'stories_id': 438433040}, {'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half', 'foci_id': 1173, 'stories_id': 438433040}, {'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 438433040}]",11
445082385,http://www.politico.com/story/2016/04/bernie-sanders-progressives-fundraising-221887,Politico,18268,Bernie begins raising cash for down-ballot progressives,2016-04-13 11:23:11,1879,,127285,20,0,"[{'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left', 'foci_id': 1182, 'stories_id': 445082385}, {'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half', 'foci_id': 1173, 'stories_id': 445082385}, {'focal_set_name': 'Emails', 'name': 'Emails', 'foci_id': 1171, 'stories_id': 445082385}, {'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 445082385}]",6
498428292,http://www.politico.com/story/2016/04/bernie-sanders-fundraising-list-222342?cmpid=sf#ixzz46bP2Rdsf,Politico,18268,The desperate scramble for Bernie's secret weapon,2016-08-08 00:00:00,1879,,127285,20,2,"[{'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left', 'foci_id': 1182, 'stories_id': 498428292}, {'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half', 'foci_id': 1173, 'stories_id': 498428292}, {'focal_set_name': 'Emails', 'name': 'Emails', 'foci_id': 1171, 'stories_id': 498428292}, {'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 498428292}]",8847
431048148,http://abcnews.go.com/Politics/katy-perry-elton-john-perform-hillary-clinton-fundraiser/story?id=37359679,ABC News,39000,"Katy Perry, Elton John Perform at Hillary Clinton Fundraiser",2016-03-03 00:28:17,1879,,127285,21,0,"[{'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half', 'foci_id': 1174, 'stories_id': 431048148}, {'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half', 'foci_id': 1173, 'stories_id': 431048148}, {'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center', 'foci_id': 1181, 'stories_id': 431048148}, {'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 431048148}]",3351
446849901,http://www.politico.com/blogs/2016-dem-primary-live-updates-and-results/2016/04/sanders-clinton-dnc-campaign-finance-laws-222102,Politico,18268,Sanders campaign slams Clinton-DNC fundraising agreement,2016-04-18 16:17:44,1879,,127285,14,1,"[{'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left', 'foci_id': 1182, 'stories_id': 446849901}, {'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half', 'foci_id': 1173, 'stories_id': 446849901}, {'focal_set_name': 'Emails', 'name': 'Emails', 'foci_id': 1171, 'stories_id': 446849901}, {'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 446849901}]",0
394227094,http://www.politico.com/story/2015/11/bernie-sanders-2016-fundraising-dnc-215559,Politico,18268,Sanders campaign inks joint fundraising pact with DNC,2015-11-05 12:12:09,1879,,127285,10,0,"[{'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left', 'foci_id': 1182, 'stories_id': 394227094}, {'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half', 'foci_id': 1173, 'stories_id': 394227094}, {'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 394227094}]",0
484321760,http://articles.philly.com/2015-08-29/news/66006747_1_o-malley-democratic-party-party-leaders,Philadelphia Inquirer,18,"Clinton, Democratic opponents pitch their party leaders",2015-08-29 08:00:00,1879,,127285,9,0,"[{'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half', 'foci_id': 1173, 'stories_id': 484321760}]",25
