stories_id,url,media_name,media_id,title,publish_date,snapshots_id,foci_id,timespans_id,inlink_count,outlink_count,foci,facebook_share_count
485030001,http://www.motherjones.com/environment/2014/09/hillary-clinton-fracking-shale-state-department-chevron?page=2,Mother Jones,1112,How Hillary Clinton's State Department sold fracking to the world,2013-07-27 14:17:33,1879,,127285,183,0,"[{'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half', 'foci_id': 1173, 'stories_id': 485030001}, {'focal_set_name': 'Emails', 'name': 'Emails', 'foci_id': 1171, 'stories_id': 485030001}, {'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 485030001}]",79823
338086287,http://www.westernjournalism.com/former-clinton-foundation-employee-with-ties-to-muslim-brotherhood-sentenced-to-life-in-prison/,Western Journalism Center,6338,Former Clinton Foundation Employee With Ties To Muslim Brotherhood Sentenced To Life In Prison,2015-04-22 18:15:13,1879,,127285,16,0,"[{'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half', 'foci_id': 1174, 'stories_id': 338086287}, {'focal_set_name': 'Clinton Foundation', 'name': 'russian oil', 'foci_id': 1170, 'stories_id': 338086287}, {'focal_set_name': 'Clinton Foundation', 'name': 'Clinton Foundation', 'foci_id': 1168, 'stories_id': 338086287}]",11017
485853810,http://www.wsj.com/articles/SB120097424021905843,Wall Street Journal,1150,Bill Clinton May Get Payout of $20 Million,2016-07-01 08:00:00,1879,,127285,15,0,"[{'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half', 'foci_id': 1174, 'stories_id': 485853810}, {'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half', 'foci_id': 1173, 'stories_id': 485853810}, {'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center', 'foci_id': 1181, 'stories_id': 485853810}, {'focal_set_name': 'Clinton Foundation', 'name': 'russian oil', 'foci_id': 1170, 'stories_id': 485853810}, {'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 485853810}, {'focal_set_name': 'Clinton Foundation', 'name': 'Clinton Foundation', 'foci_id': 1168, 'stories_id': 485853810}]",173
548101911,https://thinkprogress.org/on-fracking-clinton-and-sanders-give-vastly-different-answers-d01a0911015?utm_source=dlvr.it,Think Progress  ,111,"On Fracking, Clinton And Sanders Give Vastly Different Answers",2016-03-06 22:21:19,1879,,127285,9,1,"[{'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half', 'foci_id': 1173, 'stories_id': 548101911}, {'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 548101911}]",0
485075546,http://www.thedailybeast.com/articles/2010/03/29/bill-clintons-20-million-breakup.html,The Daily Beast,1707,Bill Clinton's $20 Million Breakup,2010-03-29 19:21:31,1879,,127285,7,0,"[{'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half', 'foci_id': 1173, 'stories_id': 485075546}, {'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 485075546}]",5
512440994,https://www.hrw.org/report/2014/10/22/i-already-bought-you/abuse-and-exploitation-female-migrant-domestic-workers-united,HumanRightsWatch,39966,"""I Already Bought You""",2014-10-22 21:45:38,1879,,127285,6,0,"[{'focal_set_name': 'Emails', 'name': 'Emails', 'foci_id': 1171, 'stories_id': 512440994}, {'focal_set_name': 'Clinton Foundation', 'name': 'russian oil', 'foci_id': 1170, 'stories_id': 512440994}]",34
485070252,http://usuaebusiness.org/senior-u-a-e-delegation-attends-state-dept-s-global-infrastructure-conference-in-d-c/,usuaebusiness.org,290480,Senior U.A.E. delegation attends State Dept.'s Global Infrastructure Conference in D.C. - The U.S.-U.A.E. Business Council,undateable,1879,,127285,5,1,[],0
540643547,https://wikileaks.org/podesta-emails/emailid/3774,Wikileaks,57088,Congrats! - WikiLeaks,2014-08-19 05:22:00,1879,,127285,79,0,"[{'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half', 'foci_id': 1174, 'stories_id': 540643547}, {'focal_set_name': 'Emails', 'name': 'Emails', 'foci_id': 1171, 'stories_id': 540643547}]",19356
442086983,https://theintercept.com/2016/02/22/saudi-christmas-present/,The Intercept,269138,Emails Show Hillary Clinton Aides Celebrating F-15 Sales to Saudi Arabia: âGood Newsâ,2016-02-22 07:00:00,1879,,127285,63,4,"[{'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half', 'foci_id': 1174, 'stories_id': 442086983}, {'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half', 'foci_id': 1173, 'stories_id': 442086983}, {'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center', 'foci_id': 1181, 'stories_id': 442086983}, {'focal_set_name': 'Emails', 'name': 'Emails', 'foci_id': 1171, 'stories_id': 442086983}, {'focal_set_name': 'Clinton Foundation', 'name': 'russian oil', 'foci_id': 1170, 'stories_id': 442086983}, {'focal_set_name': 'Clinton Foundation', 'name': 'Clinton Foundation', 'foci_id': 1168, 'stories_id': 442086983}]",17367
537426367,http://www.politifact.com/arizona/statements/2016/jul/11/donald-trump/did-hillary-clinton-take-money-countries-treat-wom/,Politifact,18391,Did Hillary Clinton take money from countries that treat wom,2016-07-11 14:00:00,1879,,127285,26,4,"[{'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half', 'foci_id': 1173, 'stories_id': 537426367}, {'focal_set_name': 'Clinton Foundation', 'name': 'russian oil', 'foci_id': 1170, 'stories_id': 537426367}, {'focal_set_name': 'Clinton Foundation', 'name': 'Clinton Foundation', 'foci_id': 1168, 'stories_id': 537426367}]",3016
347719198,http://www.ibtimes.com/clinton-foundation-donors-got-weapons-deals-hillary-clintons-state-department-1934187,IBTimes,41550,Clinton Foundation Donors Got Weapons Deals From Hillary Clinton's State Department,2015-05-26 08:44:30,1879,,127285,370,8,"[{'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half', 'foci_id': 1174, 'stories_id': 347719198}, {'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half', 'foci_id': 1173, 'stories_id': 347719198}, {'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center', 'foci_id': 1181, 'stories_id': 347719198}, {'focal_set_name': 'Clinton Foundation', 'name': 'russian oil', 'foci_id': 1170, 'stories_id': 347719198}, {'focal_set_name': 'Clinton Foundation', 'name': 'Clinton Foundation', 'foci_id': 1168, 'stories_id': 347719198}]",207437
554164158,https://www.washingtonpost.com/graphics/politics/clinton-money/?utm_source=hootsuite,Washington Post,2,41 years. $3 billion. Inside the Clinton donor network. - Washington Post,undateable,1879,,127285,134,2,"[{'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left', 'foci_id': 1182, 'stories_id': 554164158}, {'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half', 'foci_id': 1173, 'stories_id': 554164158}, {'focal_set_name': 'Clinton Foundation', 'name': 'russian oil', 'foci_id': 1170, 'stories_id': 554164158}, {'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 554164158}, {'focal_set_name': 'Clinton Foundation', 'name': 'Clinton Foundation', 'foci_id': 1168, 'stories_id': 554164158}]",21183
503280749,http://www.nytimes.com/2016/08/21/us/politics/donald-trump-debt.html?partner=rss&emc=rss,New York Times,1,"In Maze of Trump&#x2019;s Empire, Unknown Ties and $650 Million in Debt",2016-08-20 09:06:27,1879,,127285,67,0,"[{'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left', 'foci_id': 1182, 'stories_id': 503280749}, {'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half', 'foci_id': 1173, 'stories_id': 503280749}, {'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 503280749}]",113995
