stories_id,url,media_name,media_id,title,publish_date,snapshots_id,foci_id,timespans_id,inlink_count,outlink_count,foci,facebook_share_count
484684076,https://twitter.com/realdonaldtrump,Twitter,18346,Donald J. Trump (realDonaldTrump) on Twitter,undateable,1879,,127285,13203,0,[],50962
412899747,http://www.realclearpolitics.com/epolls/2016/president/us/general_election_trump_vs_clinton-5491.html,Real Clear Politics,1040,RealClearPolitics - Election 2016 - General Election: Trump vs. Clinton,2015-11-11 04:08:02,1879,,127285,2516,0,"[{'foci_id': 1183, 'stories_id': 412899747, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Right'}, {'foci_id': 1174, 'stories_id': 412899747, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}, {'foci_id': 1172, 'stories_id': 412899747, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",88663
412810044,http://www.cnn.com/2015/12/07/politics/donald-trump-muslim-ban-immigration/,CNN,1095,Donald Trump: Ban all Muslim travel to U.S. - CNNPolitics.com,2015-12-07 07:00:00,1879,,127285,561,0,"[{'foci_id': 1182, 'stories_id': 412810044, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left'}, {'foci_id': 1173, 'stories_id': 412810044, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1172, 'stories_id': 412810044, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",107533
347719198,http://www.ibtimes.com/clinton-foundation-donors-got-weapons-deals-hillary-clintons-state-department-1934187,IBTimes,41550,Clinton Foundation Donors Got Weapons Deals From Hillary Clinton's State Department,2015-05-26 08:44:30,1879,,127285,370,8,"[{'foci_id': 1174, 'stories_id': 347719198, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}, {'foci_id': 1173, 'stories_id': 347719198, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1181, 'stories_id': 347719198, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center'}, {'foci_id': 1170, 'stories_id': 347719198, 'focal_set_name': 'Clinton Foundation', 'name': 'russian oil'}, {'foci_id': 1168, 'stories_id': 347719198, 'focal_set_name': 'Clinton Foundation', 'name': 'Clinton Foundation'}]",207437
495694672,http://warontherocks.com/2016/03/open-letter-on-donald-trump-from-gop-national-security-leaders/,warontherocks.com,72738,Open Letter on Trump from GOP National Security Leaders,2016-03-02 16:50:13,1879,,127285,311,1,[],0
542466725,http://www.theatlantic.com/magazine/archive/2016/04/the-obama-doctrine/471525/#6,The Atlantic,1110,The Obama Doctrine,undateable,1879,,127285,319,0,"[{'foci_id': 1182, 'stories_id': 542466725, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left'}, {'foci_id': 1173, 'stories_id': 542466725, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1172, 'stories_id': 542466725, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",138540
548176715,http://www.wsj.com/articles/laptop-may-include-thousands-of-emails-linked-to-hillary-clintons-private-server-1477854957?mod=e2tw,Wall Street Journal,1150,FBI in Internal Feud Over Hillary Clinton Probe,2016-11-30 07:00:00,1879,,127285,213,0,"[{'foci_id': 1174, 'stories_id': 548176715, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}, {'foci_id': 1173, 'stories_id': 548176715, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1181, 'stories_id': 548176715, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center'}, {'foci_id': 1171, 'stories_id': 548176715, 'focal_set_name': 'Emails', 'name': 'Emails'}, {'foci_id': 1172, 'stories_id': 548176715, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",70783
441635842,https://www.hillaryclinton.com/issues/college/,hillaryclinton.com,73449,Hillary on college,undateable,1879,,127285,158,0,"[{'foci_id': 1173, 'stories_id': 441635842, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}]",22570
498727760,http://www.nytimes.com/2016/07/25/us/politics/donald-trump-russia-emails.html?hp&action=click&pgtype=Homepage&clickSource=story-heading&module=b-lede-package-region&region=top-news&WT.nav=top-news&_r=0,New York Times,1,"As Democrats Gather, a Russian Subplot Raises Intrigue",2015-05-12 18:58:22,1879,,127285,140,1,"[{'foci_id': 1182, 'stories_id': 498727760, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left'}, {'foci_id': 1173, 'stories_id': 498727760, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1171, 'stories_id': 498727760, 'focal_set_name': 'Emails', 'name': 'Emails'}, {'foci_id': 1172, 'stories_id': 498727760, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",44959
504793603,http://www.judicialwatch.org/press-room/press-releases/new-abedin-emails-reveal-hillary-clinton-state-department-gave-special-access-top-clinton-foundation-donors/,Judicial Watch,6270,New Abedin Emails Reveal Hillary Clinton State Department Gave Special Access to Top Clinton Foundation Donors - Judicial Watch,undateable,1879,,127285,112,17,"[{'foci_id': 1174, 'stories_id': 504793603, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}, {'foci_id': 1171, 'stories_id': 504793603, 'focal_set_name': 'Emails', 'name': 'Emails'}, {'foci_id': 1170, 'stories_id': 504793603, 'focal_set_name': 'Clinton Foundation', 'name': 'russian oil'}, {'foci_id': 1168, 'stories_id': 504793603, 'focal_set_name': 'Clinton Foundation', 'name': 'Clinton Foundation'}]",41472
