stories_id,url,media_name,media_id,title,publish_date,snapshots_id,foci_id,timespans_id,inlink_count,outlink_count,foci,facebook_share_count
484684076,https://twitter.com/realdonaldtrump,Twitter,18346,Donald J. Trump (realDonaldTrump) on Twitter,undateable,1879,,127285,13203,0,[],50962
442292577,https://www.donaldjtrump.com,donaldjtrump.com,269331,SHOW YOUR SUPPORT FOR DONALD J. TRUMP,undateable,1879,,127285,1633,2,"[{'foci_id': 1174, 'stories_id': 442292577, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}]",936851
492255448,https://www.donaldjtrump.com/press-releases/donald-j.-trump-on-the-stakes-of-the-election,donaldjtrump.com,269331,SHOW YOUR SUPPORT FOR DONALD TRUMP,undateable,1879,,127285,1071,23,"[{'foci_id': 1174, 'stories_id': 492255448, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}, {'foci_id': 1171, 'stories_id': 492255448, 'focal_set_name': 'Emails', 'name': 'Emails'}, {'foci_id': 1170, 'stories_id': 492255448, 'focal_set_name': 'Clinton Foundation', 'name': 'russian oil'}, {'foci_id': 1168, 'stories_id': 492255448, 'focal_set_name': 'Clinton Foundation', 'name': 'Clinton Foundation'}]",550
412823003,https://www.donaldjtrump.com/positions/immigration-reform,donaldjtrump.com,269331,Immigration Reform,undateable,1879,,127285,989,1,"[{'foci_id': 1174, 'stories_id': 412823003, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}]",7594
490567513,https://mobile.twitter.com/realDonaldTrump/status/265895292191248385,Twitter,18346,Twitter,2012-11-06 07:00:00,1879,,127285,740,0,[],52053
493394681,https://www.fbi.gov/news/pressrel/press-releases/statement-by-fbi-director-james-b-comey-on-the-investigation-of-secretary-hillary-clinton2019s-use-of-a-personal-e-mail-system,FBI,18620,Statement by FBI Director James B. Comey on the Investigation of Secretary Hillary Clinton’s Use of a Personal E-Mail System,undateable,1879,,127285,624,0,"[{'foci_id': 1174, 'stories_id': 493394681, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}]",13616
484427811,http://www.thedailybeast.com/articles/2015/07/27/ex-wife-donald-trump-made-feel-violated-during-sex.html?via=desktop&source=twitter,The Daily Beast,1707,Ex-Wife: Donald Trump Made Me Feel ‘Violated’ During Sex,2015-07-27 20:35:00,1879,,127285,546,9,"[{'foci_id': 1173, 'stories_id': 484427811, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1172, 'stories_id': 484427811, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",102549
497834491,http://www.politico.com/story/2015/11/ben-carson-west-point-215598#ixzz3qjruZIZr,Politico,18268,Exclusive: Carson claimed West Point 'scholarship' but never applied,2016-08-06 00:06:00,1879,,127285,406,1,"[{'foci_id': 1182, 'stories_id': 497834491, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left'}, {'foci_id': 1173, 'stories_id': 497834491, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1171, 'stories_id': 497834491, 'focal_set_name': 'Emails', 'name': 'Emails'}, {'foci_id': 1172, 'stories_id': 497834491, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",96023
441605598,http://www.politifact.com/personalities/donald-trump/,Politifact,18391,Donald Trump's file | PolitiFact,undateable,1879,,127285,594,0,"[{'foci_id': 1173, 'stories_id': 441605598, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}]",230833
484762540,https://mobile.twitter.com/realDonaldTrump/status/742034549232766976,Twitter,18346,Twitter,2016-06-12 08:00:00,1879,,127285,422,0,[],34299
