stories_id,url,media_name,media_id,title,publish_date,snapshots_id,foci_id,timespans_id,inlink_count,outlink_count,foci,facebook_share_count
441605385,http://www.nationalreview.com/article/430137/donald-trump-conservative-movement-menace,National Review,1117,Against Trump,2016-01-21 17:00:00,1879,,127285,291,1,"[{'foci_id': 1183, 'stories_id': 441605385, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Right'}, {'foci_id': 1174, 'stories_id': 441605385, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}, {'foci_id': 1172, 'stories_id': 441605385, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",58475
606291062,https://www.nytimes.com/2016/08/09/us/politics/national-security-gop-donald-trump.html?mabReward=A6&action=click&pgtype=Homepage&region=CColumn&module=Recommendation&src=rechp&WT.nav=RecEngine&_r=0,New York Times,1,50 G.O.P. Officials Warn Donald Trump Would Put Nation’s Security ‘at Risk’,2016-08-09 08:00:00,1879,,127285,140,0,"[{'foci_id': 1182, 'stories_id': 606291062, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left'}, {'foci_id': 1173, 'stories_id': 606291062, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1172, 'stories_id': 606291062, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",0
429621546,http://rss.nytimes.com/c/34625/f/642562/s/4de68771/sc/7/l/0L0Snytimes0N0C20A160C0A20C280Cus0Cpolitics0Chillary0Eclinton0Elibya0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm,New York Times,1,"The Libya Gamble: Hillary Clinton, ‘Smart Power’ and a Dictator’s Fall",2016-02-27 23:42:43,1879,,127285,129,1,"[{'foci_id': 1182, 'stories_id': 429621546, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left'}, {'foci_id': 1173, 'stories_id': 429621546, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1171, 'stories_id': 429621546, 'focal_set_name': 'Emails', 'name': 'Emails'}, {'foci_id': 1172, 'stories_id': 429621546, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",27650
441622565,https://www.hillaryclinton.com/issues/paid-leave/,hillaryclinton.com,73449,Paid leave,undateable,1879,,127285,147,0,"[{'foci_id': 1173, 'stories_id': 441622565, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}]",13994
498371336,https://mobile.twitter.com/hashtag/NeverTrump,Twitter,18346,Search Twitter - #NeverTrump,undateable,1879,,127285,145,0,[],35
606480024,https://www.nytimes.com/2016/04/28/us/politics/transcript-trump-foreign-policy.html?_r=3,New York Times,1,Transcript: Donald Trump’s Foreign Policy Speech,2016-04-28 08:00:00,1879,,127285,78,0,"[{'foci_id': 1182, 'stories_id': 606480024, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left'}, {'foci_id': 1173, 'stories_id': 606480024, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1172, 'stories_id': 606480024, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",0
408384969,http://feeds.washingtonpost.com/c/34656/f/669923/s/4c66d792/sc/7/l/0L0Swashingtonpost0N0Cnews0Cmorning0Emix0Cwp0C20A150C120C220Cdonald0Etrumps0Eschlonged0Ea0Elinguistic0Einvestigation0C/story01.htm,Washington Post,2,Donald Trump’s ‘schlonged': A linguistic investigation,2015-12-22 04:05:40,1879,,127285,52,2,"[{'foci_id': 1182, 'stories_id': 408384969, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left'}, {'foci_id': 1173, 'stories_id': 408384969, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1171, 'stories_id': 408384969, 'focal_set_name': 'Emails', 'name': 'Emails'}, {'foci_id': 1172, 'stories_id': 408384969, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",0
540247790,https://www.donaldjtrump.com/policies/child-care/?/positions/child-care-reforms-that-will-make-america-great-again,donaldjtrump.com,269331,Child Care,undateable,1879,,127285,50,0,"[{'foci_id': 1174, 'stories_id': 540247790, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}]",1933
429621543,http://rss.nytimes.com/c/34625/f/642562/s/4de68772/sc/7/l/0L0Snytimes0N0C20A160C0A20C280Cus0Cpolitics0Clibya0Eisis0Ehillary0Eclinton0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm,New York Times,1,"The Libya Gamble: A New Libya, With ‘Very Little Time Left’",2016-02-27 23:44:04,1879,,127285,51,2,"[{'foci_id': 1182, 'stories_id': 429621543, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left'}, {'foci_id': 1173, 'stories_id': 429621543, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1171, 'stories_id': 429621543, 'focal_set_name': 'Emails', 'name': 'Emails'}, {'foci_id': 1172, 'stories_id': 429621543, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",11587
239665969,http://billmoyers.com/2014/02/21/anatomy-of-the-deep-state/,billmoyers.com,26365,"Essay: Anatomy of the Deep State | Blog, Perspectives | BillMoyers.com",1970-08-22 02:30:21,1879,,127285,50,0,"[{'foci_id': 1173, 'stories_id': 239665969, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}]",48473
507864995,http://time.com/4474619/read-hillary-clinton-american-legion-speech/,Real Clear Politics,1040,Read Hillary Clinton&#8217;s Speech Touting &#8216;American Exceptionalism&#8217;,2016-08-31 15:21:59,1879,,127285,36,0,"[{'foci_id': 1183, 'stories_id': 507864995, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Right'}, {'foci_id': 1174, 'stories_id': 507864995, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}, {'foci_id': 1172, 'stories_id': 507864995, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",2659
430971472,http://www.politico.com/story/2016/03/donald-trump-wall-street-220141,Politico,18268,Wall Street readies big Trump assault,2016-03-02 18:50:16,1879,,127285,25,0,"[{'foci_id': 1182, 'stories_id': 430971472, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left'}, {'foci_id': 1173, 'stories_id': 430971472, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1172, 'stories_id': 430971472, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",0
442364566,http://www.nationalreview.com/article/428452/ted-cruz-foreign-policy-gop-leaders-suspicious,National Review,1117,Many GOP Foreign-Policy Leaders Are Suspicious of Ted Cruz,2015-12-13 23:00:00,1879,,127285,23,1,"[{'foci_id': 1183, 'stories_id': 442364566, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Right'}, {'foci_id': 1174, 'stories_id': 442364566, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}, {'foci_id': 1170, 'stories_id': 442364566, 'focal_set_name': 'Clinton Foundation', 'name': 'russian oil'}, {'foci_id': 1172, 'stories_id': 442364566, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",1966
538293683,http://www.wsj.com/articles/the-trump-plan-will-help-working-mothers-1473803187,Wall Street Journal,1150,The Trump Plan Will Help Working Mothers,2016-11-07 07:00:00,1879,,127285,20,0,"[{'foci_id': 1174, 'stories_id': 538293683, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}, {'foci_id': 1173, 'stories_id': 538293683, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1181, 'stories_id': 538293683, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center'}, {'foci_id': 1172, 'stories_id': 538293683, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",37013
542623970,http://www.adl.org/press-center/press-releases/anti-semitism-usa/adl-urges-donald-trump-to-reconsider-america-first.html?referrer=https://www.google.com/#.WCLnwOErJBw,adl.org,22726,ADL Urges Donald Trump to Reconsider “America First” in Foreign Policy Approach,undateable,1879,,127285,25,0,[],0
443594164,https://theintercept.com/2015/10/05/saudi-arabia-continues-hire-politically-connected-american-lobbyists-public-relation-firms/,The Intercept,269138,"Saudi Arabia Continues Hiring Spree of American Lobbyists, Public Relations Experts",2015-10-05 08:00:00,1879,,127285,20,2,"[{'foci_id': 1174, 'stories_id': 443594164, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}, {'foci_id': 1173, 'stories_id': 443594164, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1181, 'stories_id': 443594164, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center'}, {'foci_id': 1170, 'stories_id': 443594164, 'focal_set_name': 'Clinton Foundation', 'name': 'russian oil'}, {'foci_id': 1168, 'stories_id': 443594164, 'focal_set_name': 'Clinton Foundation', 'name': 'Clinton Foundation'}]",734
506421997,http://www.cnn.com/2016/08/10/politics/donald-trump-republican-opposition/,CNN,1095,Republicans who oppose Donald Trump - CNNPolitics.com,2015-08-31 20:00:00,1879,,127285,13,0,"[{'foci_id': 1182, 'stories_id': 506421997, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left'}, {'foci_id': 1173, 'stories_id': 506421997, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1172, 'stories_id': 506421997, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",6488
442363988,http://www.epi.org/blog/fast-track-to-lost-jobs-and-lower-wages/,Economic Policy Institute,27483,Fast Track to Lost Jobs and Lower Wages,undateable,1879,,127285,16,3,[],1499
545851110,http://thehill.com/blogs/ballot-box/presidential-races/303458-former-fbi-official-clintons-are-a-crime-family,The Hill,18364,Ex-FBI official: Clintons are a 'crime family',2016-10-30 07:00:03,1879,,127285,13,0,"[{'foci_id': 1174, 'stories_id': 545851110, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}, {'foci_id': 1173, 'stories_id': 545851110, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1181, 'stories_id': 545851110, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center'}, {'foci_id': 1171, 'stories_id': 545851110, 'focal_set_name': 'Emails', 'name': 'Emails'}, {'foci_id': 1170, 'stories_id': 545851110, 'focal_set_name': 'Clinton Foundation', 'name': 'russian oil'}, {'foci_id': 1172, 'stories_id': 545851110, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}, {'foci_id': 1168, 'stories_id': 545851110, 'focal_set_name': 'Clinton Foundation', 'name': 'Clinton Foundation'}]",45974
512273971,http://fivethirtyeight.com/features/there-is-no-blue-wall/,FiveThirtyEight,5915,There Is No &#8216;Blue Wall&#8217;,undateable,1879,,127285,14,1,"[{'foci_id': 1173, 'stories_id': 512273971, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1172, 'stories_id': 512273971, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",3147
441989435,https://www.foreignaffairs.com/articles/1996-07-01/toward-neo-reaganite-foreign-policy,Foreign Affairs,46603,Toward a Neo-Reaganite Foreign Policy,2009-01-28 18:51:19,1879,,127285,12,0,[],7
512732740,https://www.bloomberg.com/view/articles/2016-04-27/trump-s-america-first-slogan-has-nazi-era-baggage,Bloomberg,40944,https://www.bloomberg.com/view/articles/2016-04-27/trump-s-america-first-slogan-has-nazi-era-baggage,2016-04-27 15:45:42,1879,,127285,9,0,"[{'foci_id': 1174, 'stories_id': 512732740, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}, {'foci_id': 1173, 'stories_id': 512732740, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1181, 'stories_id': 512732740, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center'}, {'foci_id': 1170, 'stories_id': 512732740, 'focal_set_name': 'Clinton Foundation', 'name': 'russian oil'}, {'foci_id': 1172, 'stories_id': 512732740, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",4
543176463,http://www.bbc.com/news/election-us-2016-37766786,bbc,1094,Trump: Clinton's foreign policy plan would start WW3 - BBC News,2016-10-26 08:00:00,1879,,127285,9,0,"[{'foci_id': 1182, 'stories_id': 543176463, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left'}, {'foci_id': 1173, 'stories_id': 543176463, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}]",4420
490296133,http://www.wsj.com/articles/the-cruz-imposture-1450138161,Wall Street Journal,1150,The Cruz Imposture,2016-07-15 08:00:00,1879,,127285,12,0,"[{'foci_id': 1174, 'stories_id': 490296133, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}, {'foci_id': 1173, 'stories_id': 490296133, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1181, 'stories_id': 490296133, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center'}, {'foci_id': 1170, 'stories_id': 490296133, 'focal_set_name': 'Clinton Foundation', 'name': 'russian oil'}, {'foci_id': 1172, 'stories_id': 490296133, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",1087
484578857,https://www.commentarymagazine.com/politics-ideas/ted-cruz-anti-ronald-reagan/,Commentary,6264,Ted Cruz Is Nothing Like Ronald Reagan,undateable,1879,,127285,8,6,"[{'foci_id': 1174, 'stories_id': 484578857, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}, {'foci_id': 1173, 'stories_id': 484578857, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1181, 'stories_id': 484578857, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center'}]",1090
478619762,http://www.counterpunch.org/2016/05/03/hillary-clintons-foreign-policy-resume-what-the-record-shows/,counterpunch.com,63031,Hillary Clinton’s Foreign Policy Resumé: What the Record Shows,2016-05-03 05:10:25,1879,,127285,7,1,"[{'foci_id': 1173, 'stories_id': 478619762, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1171, 'stories_id': 478619762, 'focal_set_name': 'Emails', 'name': 'Emails'}]",2198
523266628,https://consortiumnews.com/2016/10/07/key-neocon-calls-on-us-to-oust-putin/,Consortiumnews.com,197,Key Neocon Calls on US to Oust Putin,2016-10-07 17:57:45,1879,,127285,7,0,[],1424
