stories_id,url,media_name,media_id,title,publish_date,snapshots_id,foci_id,timespans_id,inlink_count,outlink_count,foci,facebook_share_count
500680778,http://www.cnn.com/2016/07/28/politics/donald-trump-vladimir-putin-quotes/,CNN,1095,Donald Trump on Vladimir Putin: In his own words - CNNPolitics.com,2016-07-28 08:00:00,1879,,127285,49,0,"[{'name': 'Center Left', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 500680778, 'foci_id': 1182}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 500680778, 'foci_id': 1173}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 500680778, 'foci_id': 1172}]",1732
540605184,http://www.freerepublic.com/focus/f-news/1725828/posts,Free Republic,304,"Exclusive: Hillary Clinton On Israel, Iraq And Terror",2006-10-25 16:42:31,1879,,127285,2,0,"[{'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 540605184, 'foci_id': 1174}]",9
532986050,http://abcnews.go.com/Politics/donald-trump-defending-rigged-election-talk-calls-president/story?id=43053336,ABC News,39000, Trump Calls President Obama 'a Phony' About 'Rigged Election' Talk,2016-10-25 17:45:28,1879,,127285,2,0,"[{'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 532986050, 'foci_id': 1174}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 532986050, 'foci_id': 1173}, {'name': 'Center', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 532986050, 'foci_id': 1181}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 532986050, 'foci_id': 1172}]",2251
514345526,http://www.nytimes.com/2016/09/16/opinion/anti-trump-republicans-dont-waste-your-vote-trade-it.html?partner=rss&emc=rss,New York Times,1,Op-Ed Contributors: Anti-Trump Republicans: Don&#x2019;t Waste Your Vote. Trade It.,2016-09-16 03:21:20,1879,,127285,9,7,"[{'name': 'Center Left', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 514345526, 'foci_id': 1182}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 514345526, 'foci_id': 1173}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 514345526, 'foci_id': 1172}]",18361
540434273,https://www.bustle.com/articles/191743-this-political-activist-created-a-meaningful-way-for-you-to-vote-third-party,Bustle,98755,This Political Activist Created A Meaningful Way For You To Vote Third Party,2016-10-27 08:00:00,1879,,127285,3,2,"[{'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 540434273, 'foci_id': 1173}]",120
516468166,http://www.democracynow.org/2016/9/19/ralph_nader_calling_a_third_party,Democracy Now!,1721,"Ralph Nader: Calling a Third-Party Candidate a ""Spoiler"" is a ""Politically Bigoted Word""",2016-09-19 08:42:13,1879,,127285,3,0,"[{'name': 'Center Left', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 516468166, 'foci_id': 1182}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 516468166, 'foci_id': 1173}]",10422
540411451,https://rimediacoop.org/podcast/with-clinton-and-trump-votepact-is-more-vital-than-ever/,rimediacoop.org,305840,"With Clinton and Trump, #VotePact Is More Vital Than Ever",undateable,1879,,127285,2,0,[],22
537418441,https://www.craigmurray.org.uk/archives/2016/10/boring-annoying-things-know/,craigmurray.org.uk,69364,Boring or Annoying Things We Have to Know - Craig Murray,undateable,1879,,127285,1,2,"[{'name': 'Emails', 'focal_set_name': 'Emails', 'stories_id': 537418441, 'foci_id': 1171}, {'name': 'russian oil', 'focal_set_name': 'Clinton Foundation', 'stories_id': 537418441, 'foci_id': 1170}, {'name': 'Clinton Foundation', 'focal_set_name': 'Clinton Foundation', 'stories_id': 537418441, 'foci_id': 1168}]",436
537389214,http://www.accuracy.org/release/debates-or-televised-joint-appearances/,accuracy.org,72339,“Debates” — or “Televised Joint Appearances”? | Accuracy.Org,undateable,1879,,127285,1,2,[],20
537395513,http://www.fairvote.org/votepact_do_it_yourself_voting_reform,FairVote.org | Home,27487,VotePact: Do It Yourself Voting Reform - FairVote,undateable,1879,,127285,2,1,[],0
