stories_id,url,media_name,media_id,title,publish_date,snapshots_id,foci_id,timespans_id,inlink_count,outlink_count,foci,facebook_share_count
356008343,https://twitter.com/hashtag/Hillary2016?src=hash,Twitter,18346,#Hillary2016 hashtag on Twitter,undateable,1879,,127285,222,0,[],55
359736161,http://feeds.nbcnews.com/c/35002/f/663303/s/47f24cef/sc/7/l/0L0Snbcnews0N0Cpolitics0C20A160Eelection0Cdonald0Etrump0Ei0Ewill0Ewin0Elatino0Evote0En388696/story01.htm,MSNBC,1149,Donald Trump: 'I Will Win the Latino Vote',2015-07-08 12:08:04,1879,,127285,79,0,"[{'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 359736161, 'foci_id': 1173}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 359736161, 'foci_id': 1172}]",63727
441955289,http://www.thedailybeast.com/articles/2015/08/19/presidential-candidate-deez-nuts-does-not-exist.html,The Daily Beast,1707,Presidential Sensation Deez Nuts Is a 15-Year-Old Iowa Farm Boy,2015-08-19 18:45:00,1879,,127285,51,0,"[{'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 441955289, 'foci_id': 1173}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 441955289, 'foci_id': 1172}]",117413
500198940,http://www.nytimes.com/2016/06/21/us/politics/donald-trump-money-campaign.html?&hp&action=click&pgtype=Homepage&clickSource=story-heading&module=a-lede-package-region&region=top-news&WT.nav=top-news&_r=0,New York Times,1,Donald Trump Starts Summer Push With Crippling Money Deficit,2016-06-21 08:00:00,1879,,127285,56,0,"[{'name': 'Center Left', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 500198940, 'foci_id': 1182}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 500198940, 'foci_id': 1173}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 500198940, 'foci_id': 1172}]",18208
490767117,http://rss.cnn.com/~r/rss/cnn_latest/~3/qxuwRgl4GIA/index.html,CNN,1095,Melania Trump's speech bears similarities to Michelle Obama's,2016-07-19 00:47:18,1879,,127285,47,3,"[{'name': 'Center Left', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 490767117, 'foci_id': 1182}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 490767117, 'foci_id': 1173}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 490767117, 'foci_id': 1172}]",63756
478446506,http://nymag.com/daily/intelligencer/2015/10/paradox-of-the-first-black-president.html,New York Magazine,1109,The Paradox of the First Black President,2015-10-07 06:00:00,1879,,127285,38,0,"[{'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 478446506, 'foci_id': 1173}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 478446506, 'foci_id': 1172}]",11962
401304485,http://rss.cnn.com/c/35492/f/676954/s/4bdb9ec5/sc/7/l/0L0Scnn0N0C20A150C110C280Cpolitics0Cblack0Ereligious0Eleaders0Edonald0Etrump0Eendorsement0Cindex0Bhtml0Deref0Frss0Ilatest/story01.htm,CNN,1095,Black religious leaders: No Donald Trump endorsement,2015-11-28 16:07:47,1879,,127285,26,0,"[{'name': 'Center Left', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 401304485, 'foci_id': 1182}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 401304485, 'foci_id': 1173}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 401304485, 'foci_id': 1172}]",27552
353650416,http://feeds.theguardian.com/c/34708/f/663828/s/474a66a7/sc/7/l/0L0Stheguardian0N0Cus0Enews0C20A150Cjun0C160Cdonald0Etrump0Eannounces0Erun0Epresident/story01.htm,Guardian,1751,Donald Trump the latest Republican to announce run for US president,2015-06-16 11:34:47,1879,,127285,29,0,"[{'name': 'Center Left', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 353650416, 'foci_id': 1182}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 353650416, 'foci_id': 1173}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 353650416, 'foci_id': 1172}]",13902
534277947,http://www.newsobserver.com/news/politics-government/politics-columns-blogs/under-the-dome/article111038352.html#storylink=rss,The News & Observer ,58,Accused ‘thug’ escorted out of Trump’s Kinston rally says he’s actually a supporter,2016-10-28 10:55:54,1879,,127285,23,1,"[{'name': 'Center Left', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 534277947, 'foci_id': 1182}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 534277947, 'foci_id': 1173}]",3342
490761221,http://www.vox.com/2016/7/19/12221566/melania-trump-michelle-obama,Vox,104828,It sure looks like Melania Trump copied her speech from Michelle Obama,2016-07-19 00:01:30,1879,,127285,22,3,"[{'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 490761221, 'foci_id': 1173}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 490761221, 'foci_id': 1172}]",61236
