stories_id,url,media_name,media_id,title,publish_date,snapshots_id,foci_id,timespans_id,inlink_count,outlink_count,foci,facebook_share_count
484384623,http://www.realclearpolitics.com/epolls/2016/president/nc/north_carolina_trump_vs_clinton-5538.html,Real Clear Politics,1040,RealClearPolitics - Election 2016 - North Carolina: Trump vs. Clinton,2016-05-06 07:55:19,1879,,127285,153,0,"[{'name': 'Center Right', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 484384623, 'foci_id': 1183}, {'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 484384623, 'foci_id': 1174}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 484384623, 'foci_id': 1172}]",735
413878750,http://rssfeeds.usatoday.com/~/132431997/0/usatodaycomwashington-topstories~USA-TODAYRock-the-Vote-poll-Millennials-agenda-for-the-next-president/,USAToday,64866,USA TODAY/Rock the Vote poll: Millennials' agenda for the next president,2016-01-11 13:17:13,1879,,127285,75,6,"[{'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 413878750, 'foci_id': 1174}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 413878750, 'foci_id': 1173}, {'name': 'Center', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 413878750, 'foci_id': 1181}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 413878750, 'foci_id': 1172}]",0
391350149,http://feeds.washingtonpost.com/c/34656/f/636655/s/4b039972/sc/7/l/0M0Swashingtonpost0N0Cpolitics0Cin0Ebernie0Esanders0Eanxious0Emillennials0Efind0Ea0Ecandidate0Ewho0Espeaks0Eto0Ethem0C20A150C10A0C270C923d0Ab740E66cc0E11e50E92230E70Acb36460A9190Istory0Bhtml/story01.htm,Washington Post,2,"In Bernie Sanders, anxious millennials find a candidate who speaks to them",2015-10-27 12:26:51,1879,,127285,19,0,"[{'name': 'Center Left', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 391350149, 'foci_id': 1182}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 391350149, 'foci_id': 1173}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 391350149, 'foci_id': 1172}]",2859
408778633,http://www.realclearpolitics.com/articles/2015/12/22/a_brokered_convention_in_2016_why_it_might_happen_what_it_might_mean_129119.html,Real Clear Politics,1040," A Brokered Convention in 2016: Why It Might Happen, What It Might Mean",2015-12-22 04:42:17,1879,,127285,15,0,"[{'name': 'Center Right', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 408778633, 'foci_id': 1183}, {'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 408778633, 'foci_id': 1174}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 408778633, 'foci_id': 1172}]",776
429216603,http://www.politico.com/story/2016/02/super-tuesday-2016-everything-you-need-to-know-219849,Politico,18268,Everything you need to know about Super Tuesday,2016-02-26 11:21:36,1879,,127285,10,0,"[{'name': 'Center Left', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 429216603, 'foci_id': 1182}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 429216603, 'foci_id': 1173}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 429216603, 'foci_id': 1172}]",0
540588235,http://www.cnn.com/2016/10/16/politics/north-carolina-gop-office-vandalized/,CNN,1095,Local GOP office in North Carolina firebombed - CNNPolitics.com,2016-10-16 08:00:00,1879,,127285,10,0,"[{'name': 'Center Left', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 540588235, 'foci_id': 1182}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 540588235, 'foci_id': 1173}, {'name': 'Emails', 'focal_set_name': 'Emails', 'stories_id': 540588235, 'foci_id': 1171}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'stories_id': 540588235, 'foci_id': 1172}]",47967
499213339,http://north-carolina.state-election.info/,north-carolina.state-election.info,298177,North Carolina | NC Elections,undateable,1879,,127285,7,3,[],977
512272462,http://www.npr.org/2016/02/24/462948346/the-10-states-where-millennials-could-sway-the-election?utm_source=twitter.com&utm_campaign=politics&utm_medium=social&utm_term=nprnews,NPR,1096,The 10 States Where Millennials Could Sway The Election,2016-02-24 07:00:00,1879,,127285,2,0,[],50107
501224591,http://observer.com/2016/02/will-the-primaries-be-over-after-super-tuesday/,Observer,28335,Will the Presidential Primaries Be Over on Super Tuesday?,2016-02-29 08:15:23,1879,,127285,2,2,"[{'name': 'Center Right', 'focal_set_name': 'Retweet Partisanship Quintiles', 'stories_id': 501224591, 'foci_id': 1183}, {'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'stories_id': 501224591, 'foci_id': 1174}]",160
506034940,https://www.insidehighered.com/news/2016/02/03/young-republican-voters-flock-ted-cruz-and-donald-trump,insidehighered.com,23785,Young Republican voters flock to Ted Cruz and Donald Trump,2016-02-03 07:00:00,1879,,127285,2,1,"[{'name': 'Emails', 'focal_set_name': 'Emails', 'stories_id': 506034940, 'foci_id': 1171}]",35
